#    L    TT             EE             BB             TE          
    91   0.282071E+04   0.833025E+00   0.205008E-02  -0.256501E+02
    92   0.285725E+04   0.849069E+00   0.209618E-02  -0.264030E+02
    93   0.289402E+04   0.864828E+00   0.214287E-02  -0.271535E+02
    94   0.293102E+04   0.880286E+00   0.219016E-02  -0.279012E+02
    95   0.296826E+04   0.895425E+00   0.223804E-02  -0.286451E+02
    96   0.300572E+04   0.910226E+00   0.228653E-02  -0.293844E+02
    97   0.304339E+04   0.924671E+00   0.233562E-02  -0.301185E+02
    98   0.308127E+04   0.938742E+00   0.238532E-02  -0.308464E+02
    99   0.311933E+04   0.952421E+00   0.243564E-02  -0.315674E+02
   100   0.315759E+04   0.965693E+00   0.248657E-02  -0.322805E+02
   101   0.319602E+04   0.978539E+00   0.253812E-02  -0.329850E+02
   102   0.323462E+04   0.990934E+00   0.259030E-02  -0.336802E+02
   103   0.327336E+04   0.100287E+01   0.264310E-02  -0.343649E+02
   104   0.331225E+04   0.101433E+01   0.269653E-02  -0.350384E+02
   105   0.335126E+04   0.102528E+01   0.275059E-02  -0.356998E+02
   106   0.339037E+04   0.103572E+01   0.280529E-02  -0.363481E+02
   107   0.342959E+04   0.104563E+01   0.286062E-02  -0.369825E+02
   108   0.346887E+04   0.105499E+01   0.291660E-02  -0.376021E+02
   109   0.350823E+04   0.106378E+01   0.297322E-02  -0.382059E+02
   110   0.354763E+04   0.107198E+01   0.303049E-02  -0.387930E+02
   111   0.358707E+04   0.107959E+01   0.308841E-02  -0.393627E+02
   112   0.362654E+04   0.108659E+01   0.314698E-02  -0.399141E+02
   113   0.366603E+04   0.109299E+01   0.320621E-02  -0.404467E+02
   114   0.370553E+04   0.109876E+01   0.326609E-02  -0.409597E+02
   115   0.374502E+04   0.110393E+01   0.332664E-02  -0.414525E+02
   116   0.378449E+04   0.110847E+01   0.338786E-02  -0.419244E+02
   117   0.382394E+04   0.111239E+01   0.344974E-02  -0.423748E+02
   118   0.386335E+04   0.111569E+01   0.351230E-02  -0.428029E+02
   119   0.390271E+04   0.111836E+01   0.357554E-02  -0.432081E+02
   120   0.394201E+04   0.112040E+01   0.363946E-02  -0.435899E+02
   121   0.398123E+04   0.112181E+01   0.370406E-02  -0.439474E+02
   122   0.402037E+04   0.112259E+01   0.376935E-02  -0.442802E+02
   123   0.405940E+04   0.112274E+01   0.383533E-02  -0.445874E+02
   124   0.409832E+04   0.112225E+01   0.390201E-02  -0.448685E+02
   125   0.413711E+04   0.112114E+01   0.396940E-02  -0.451227E+02
   126   0.417577E+04   0.111939E+01   0.403749E-02  -0.453496E+02
   127   0.421427E+04   0.111702E+01   0.410629E-02  -0.455484E+02
   128   0.425261E+04   0.111402E+01   0.417581E-02  -0.457186E+02
   129   0.429077E+04   0.111039E+01   0.424605E-02  -0.458595E+02
   130   0.432874E+04   0.110614E+01   0.431701E-02  -0.459703E+02
   131   0.436650E+04   0.110127E+01   0.438871E-02  -0.460507E+02
   132   0.440405E+04   0.109580E+01   0.446115E-02  -0.461002E+02
   133   0.444136E+04   0.108975E+01   0.453433E-02  -0.461183E+02
   134   0.447842E+04   0.108315E+01   0.460825E-02  -0.461048E+02
   135   0.451522E+04   0.107600E+01   0.468293E-02  -0.460594E+02
   136   0.455174E+04   0.106833E+01   0.475837E-02  -0.459815E+02
   137   0.458797E+04   0.106017E+01   0.483457E-02  -0.458708E+02
   138   0.462389E+04   0.105153E+01   0.491153E-02  -0.457271E+02
   139   0.465948E+04   0.104244E+01   0.498927E-02  -0.455501E+02
   140   0.469474E+04   0.103293E+01   0.506778E-02  -0.453395E+02
   141   0.472964E+04   0.102302E+01   0.514708E-02  -0.450949E+02
   142   0.476417E+04   0.101273E+01   0.522716E-02  -0.448161E+02
   143   0.479832E+04   0.100210E+01   0.530803E-02  -0.445028E+02
   144   0.483206E+04   0.991137E+00   0.538969E-02  -0.441547E+02
   145   0.486539E+04   0.979876E+00   0.547214E-02  -0.437714E+02
   146   0.489828E+04   0.968350E+00   0.555540E-02  -0.433528E+02
   147   0.493069E+04   0.956590E+00   0.563945E-02  -0.428985E+02
   148   0.496263E+04   0.944620E+00   0.572431E-02  -0.424083E+02
   149   0.499406E+04   0.932472E+00   0.580996E-02  -0.418818E+02
   150   0.502496E+04   0.920175E+00   0.589643E-02  -0.413188E+02
   151   0.505530E+04   0.907762E+00   0.598369E-02  -0.407191E+02
   152   0.508510E+04   0.895267E+00   0.607176E-02  -0.400828E+02
   153   0.511433E+04   0.882734E+00   0.616063E-02  -0.394100E+02
   154   0.514300E+04   0.870204E+00   0.625030E-02  -0.387011E+02
   155   0.517110E+04   0.857705E+00   0.634078E-02  -0.379560E+02
   156   0.519863E+04   0.845289E+00   0.643204E-02  -0.371752E+02
   157   0.522558E+04   0.832982E+00   0.652411E-02  -0.363586E+02
   158   0.525195E+04   0.820841E+00   0.661695E-02  -0.355066E+02
   159   0.527772E+04   0.808896E+00   0.671059E-02  -0.346194E+02
   160   0.530289E+04   0.797195E+00   0.680500E-02  -0.336971E+02
   161   0.532744E+04   0.785782E+00   0.690018E-02  -0.327401E+02
   162   0.535135E+04   0.774699E+00   0.699613E-02  -0.317485E+02
   163   0.537462E+04   0.764003E+00   0.709284E-02  -0.307226E+02
   164   0.539724E+04   0.753723E+00   0.719030E-02  -0.296627E+02
   165   0.541919E+04   0.743908E+00   0.728849E-02  -0.285689E+02
   166   0.544046E+04   0.734609E+00   0.738742E-02  -0.274417E+02
   167   0.546104E+04   0.725875E+00   0.748708E-02  -0.262813E+02
   168   0.548094E+04   0.717756E+00   0.758744E-02  -0.250882E+02
   169   0.550013E+04   0.710303E+00   0.768850E-02  -0.238627E+02
   170   0.551862E+04   0.703557E+00   0.779026E-02  -0.226051E+02
   171   0.553638E+04   0.697577E+00   0.789269E-02  -0.213160E+02
   172   0.555343E+04   0.692413E+00   0.799578E-02  -0.199955E+02
   173   0.556974E+04   0.688113E+00   0.809952E-02  -0.186442E+02
   174   0.558530E+04   0.684729E+00   0.820391E-02  -0.172625E+02
   175   0.560012E+04   0.682325E+00   0.830892E-02  -0.158509E+02
   176   0.561418E+04   0.680944E+00   0.841453E-02  -0.144098E+02
   177   0.562748E+04   0.680652E+00   0.852075E-02  -0.129399E+02
   178   0.564000E+04   0.681503E+00   0.862754E-02  -0.114421E+02
   179   0.565174E+04   0.683548E+00   0.873490E-02  -0.991689E+01
   180   0.566272E+04   0.686855E+00   0.884281E-02  -0.836527E+01
   181   0.567291E+04   0.691483E+00   0.895126E-02  -0.678807E+01
   182   0.568232E+04   0.697492E+00   0.906023E-02  -0.518606E+01
   183   0.569094E+04   0.704934E+00   0.916970E-02  -0.356010E+01
   184   0.569877E+04   0.713877E+00   0.927966E-02  -0.191111E+01
   185   0.570581E+04   0.724388E+00   0.939009E-02  -0.239747E+00
   186   0.571204E+04   0.736518E+00   0.950099E-02   0.145293E+01
   187   0.571748E+04   0.750328E+00   0.961232E-02   0.316613E+01
   188   0.572212E+04   0.765889E+00   0.972409E-02   0.489886E+01
   189   0.572594E+04   0.783262E+00   0.983626E-02   0.665025E+01
   190   0.572896E+04   0.802510E+00   0.994883E-02   0.841930E+01
   191   0.573116E+04   0.823695E+00   0.100618E-01   0.102050E+02
   192   0.573255E+04   0.846883E+00   0.101751E-01   0.120066E+02
   193   0.573310E+04   0.872136E+00   0.102888E-01   0.138231E+02
   194   0.573285E+04   0.899521E+00   0.104028E-01   0.156533E+02
   195   0.573177E+04   0.929102E+00   0.105171E-01   0.174963E+02
   196   0.572986E+04   0.960946E+00   0.106317E-01   0.193509E+02
   197   0.572714E+04   0.995119E+00   0.107467E-01   0.212162E+02
   198   0.572361E+04   0.103169E+01   0.108619E-01   0.230910E+02
   199   0.571925E+04   0.107072E+01   0.109773E-01   0.249744E+02
   200   0.571407E+04   0.111227E+01   0.110930E-01   0.268651E+02
   201   0.570807E+04   0.115641E+01   0.112090E-01   0.287623E+02
   202   0.570125E+04   0.120315E+01   0.113252E-01   0.306649E+02
   203   0.569360E+04   0.125249E+01   0.114415E-01   0.325723E+02
   204   0.568513E+04   0.130445E+01   0.115581E-01   0.344835E+02
   205   0.567583E+04   0.135903E+01   0.116749E-01   0.363978E+02
   206   0.566571E+04   0.141624E+01   0.117918E-01   0.383142E+02
   207   0.565477E+04   0.147608E+01   0.119089E-01   0.402321E+02
   208   0.564300E+04   0.153856E+01   0.120261E-01   0.421505E+02
   209   0.563046E+04   0.160369E+01   0.121434E-01   0.440683E+02
   210   0.561713E+04   0.167148E+01   0.122608E-01   0.459846E+02
   211   0.560303E+04   0.174193E+01   0.123784E-01   0.478986E+02
   212   0.558819E+04   0.181504E+01   0.124960E-01   0.498091E+02
   213   0.557261E+04   0.189084E+01   0.126137E-01   0.517153E+02
   214   0.555632E+04   0.196932E+01   0.127315E-01   0.536162E+02
   215   0.553932E+04   0.205048E+01   0.128492E-01   0.555108E+02
   216   0.552161E+04   0.213434E+01   0.129671E-01   0.573981E+02
   217   0.550320E+04   0.222089E+01   0.130849E-01   0.592770E+02
   218   0.548410E+04   0.231015E+01   0.132027E-01   0.611468E+02
   219   0.546431E+04   0.240212E+01   0.133205E-01   0.630062E+02
   220   0.544383E+04   0.249681E+01   0.134383E-01   0.648544E+02
   221   0.542268E+04   0.259420E+01   0.135560E-01   0.666902E+02
   222   0.540086E+04   0.269433E+01   0.136737E-01   0.685127E+02
   223   0.537838E+04   0.279717E+01   0.137913E-01   0.703209E+02
   224   0.535527E+04   0.290275E+01   0.139088E-01   0.721136E+02
   225   0.533152E+04   0.301104E+01   0.140261E-01   0.738898E+02
   226   0.530715E+04   0.312207E+01   0.141434E-01   0.756484E+02
   227   0.528216E+04   0.323583E+01   0.142605E-01   0.773884E+02
   228   0.525658E+04   0.335232E+01   0.143774E-01   0.791086E+02
   229   0.523041E+04   0.347154E+01   0.144942E-01   0.808081E+02
   230   0.520367E+04   0.359350E+01   0.146107E-01   0.824857E+02
   231   0.517636E+04   0.371818E+01   0.147271E-01   0.841402E+02
   232   0.514851E+04   0.384558E+01   0.148432E-01   0.857707E+02
   233   0.512011E+04   0.397571E+01   0.149591E-01   0.873760E+02
   234   0.509118E+04   0.410856E+01   0.150747E-01   0.889548E+02
   235   0.506175E+04   0.424413E+01   0.151900E-01   0.905064E+02
   236   0.503180E+04   0.438242E+01   0.153050E-01   0.920293E+02
   237   0.500136E+04   0.452340E+01   0.154197E-01   0.935225E+02
   238   0.497046E+04   0.466708E+01   0.155341E-01   0.949849E+02
   239   0.493908E+04   0.481344E+01   0.156481E-01   0.964153E+02
   240   0.490726E+04   0.496249E+01   0.157617E-01   0.978126E+02
   241   0.487500E+04   0.511422E+01   0.158750E-01   0.991757E+02
   242   0.484232E+04   0.526860E+01   0.159879E-01   0.100503E+03
   243   0.480923E+04   0.542564E+01   0.161004E-01   0.101794E+03
   244   0.477575E+04   0.558531E+01   0.162124E-01   0.103048E+03
   245   0.474189E+04   0.574761E+01   0.163240E-01   0.104262E+03
   246   0.470768E+04   0.591251E+01   0.164351E-01   0.105437E+03
   247   0.467312E+04   0.608001E+01   0.165458E-01   0.106571E+03
   248   0.463824E+04   0.625010E+01   0.166560E-01   0.107663E+03
   249   0.460304E+04   0.642274E+01   0.167656E-01   0.108711E+03
   250   0.456754E+04   0.659794E+01   0.168748E-01   0.109715E+03
   251   0.453176E+04   0.677564E+01   0.169835E-01   0.110673E+03
   252   0.449569E+04   0.695579E+01   0.170916E-01   0.111586E+03
   253   0.445936E+04   0.713832E+01   0.171992E-01   0.112453E+03
   254   0.442277E+04   0.732315E+01   0.173063E-01   0.113273E+03
   255   0.438593E+04   0.751019E+01   0.174128E-01   0.114047E+03
   256   0.434885E+04   0.769939E+01   0.175187E-01   0.114774E+03
   257   0.431154E+04   0.789065E+01   0.176241E-01   0.115455E+03
   258   0.427402E+04   0.808389E+01   0.177289E-01   0.116089E+03
   259   0.423631E+04   0.827905E+01   0.178331E-01   0.116677E+03
   260   0.419844E+04   0.847603E+01   0.179368E-01   0.117218E+03
   261   0.416041E+04   0.867476E+01   0.180398E-01   0.117712E+03
   262   0.412225E+04   0.887515E+01   0.181423E-01   0.118159E+03
   263   0.408398E+04   0.907713E+01   0.182442E-01   0.118560E+03
   264   0.404560E+04   0.928059E+01   0.183455E-01   0.118913E+03
   265   0.400712E+04   0.948546E+01   0.184463E-01   0.119221E+03
   266   0.396855E+04   0.969164E+01   0.185464E-01   0.119481E+03
   267   0.392993E+04   0.989903E+01   0.186460E-01   0.119693E+03
   268   0.389124E+04   0.101075E+02   0.187450E-01   0.119858E+03
   269   0.385251E+04   0.103171E+02   0.188434E-01   0.119976E+03
   270   0.381373E+04   0.105276E+02   0.189413E-01   0.120047E+03
   271   0.377494E+04   0.107389E+02   0.190386E-01   0.120070E+03
   272   0.373614E+04   0.109510E+02   0.191353E-01   0.120046E+03
   273   0.369736E+04   0.111637E+02   0.192315E-01   0.119974E+03
   274   0.365861E+04   0.113770E+02   0.193272E-01   0.119855E+03
   275   0.361989E+04   0.115907E+02   0.194223E-01   0.119689E+03
   276   0.358125E+04   0.118048E+02   0.195169E-01   0.119475E+03
   277   0.354268E+04   0.120191E+02   0.196109E-01   0.119215E+03
   278   0.350420E+04   0.122335E+02   0.197045E-01   0.118906E+03
   279   0.346582E+04   0.124480E+02   0.197976E-01   0.118551E+03
   280   0.342758E+04   0.126624E+02   0.198901E-01   0.118149E+03
   281   0.338947E+04   0.128766E+02   0.199822E-01   0.117700E+03
   282   0.335152E+04   0.130905E+02   0.200739E-01   0.117204E+03
   283   0.331375E+04   0.133040E+02   0.201650E-01   0.116661E+03
   284   0.327615E+04   0.135169E+02   0.202557E-01   0.116071E+03
   285   0.323876E+04   0.137293E+02   0.203460E-01   0.115435E+03
   286   0.320159E+04   0.139408E+02   0.204359E-01   0.114753E+03
   287   0.316466E+04   0.141515E+02   0.205254E-01   0.114025E+03
   288   0.312798E+04   0.143613E+02   0.206144E-01   0.113250E+03
   289   0.309157E+04   0.145699E+02   0.207031E-01   0.112430E+03
   290   0.305544E+04   0.147772E+02   0.207913E-01   0.111564E+03
   291   0.301962E+04   0.149833E+02   0.208793E-01   0.110652E+03
   292   0.298411E+04   0.151878E+02   0.209668E-01   0.109696E+03
   293   0.294893E+04   0.153908E+02   0.210540E-01   0.108694E+03
   294   0.291410E+04   0.155920E+02   0.211409E-01   0.107648E+03
   295   0.287963E+04   0.157914E+02   0.212275E-01   0.106557E+03
   296   0.284553E+04   0.159888E+02   0.213138E-01   0.105422E+03
   297   0.281182E+04   0.161840E+02   0.213997E-01   0.104242E+03
   298   0.277852E+04   0.163770E+02   0.214854E-01   0.103017E+03
   299   0.274564E+04   0.165676E+02   0.215708E-01   0.101750E+03
   300   0.271320E+04   0.167556E+02   0.216560E-01   0.100439E+03
   301   0.268122E+04   0.169411E+02   0.217408E-01   0.990861E+02
   302   0.264970E+04   0.171238E+02   0.218255E-01   0.976909E+02
   303   0.261865E+04   0.173038E+02   0.219099E-01   0.962551E+02
   304   0.258807E+04   0.174811E+02   0.219942E-01   0.947795E+02
   305   0.255797E+04   0.176555E+02   0.220782E-01   0.932643E+02
   306   0.252836E+04   0.178270E+02   0.221620E-01   0.917108E+02
   307   0.249923E+04   0.179956E+02   0.222457E-01   0.901197E+02
   308   0.247059E+04   0.181613E+02   0.223292E-01   0.884921E+02
   309   0.244245E+04   0.183239E+02   0.224125E-01   0.868291E+02
   310   0.241479E+04   0.184833E+02   0.224957E-01   0.851316E+02
   311   0.238764E+04   0.186396E+02   0.225788E-01   0.833992E+02
   312   0.236098E+04   0.187927E+02   0.226618E-01   0.816343E+02
   313   0.233484E+04   0.189425E+02   0.227447E-01   0.798371E+02
   314   0.230920E+04   0.190890E+02   0.228275E-01   0.780088E+02
   315   0.228406E+04   0.192320E+02   0.229102E-01   0.761502E+02
   316   0.225945E+04   0.193716E+02   0.229929E-01   0.742625E+02
   317   0.223535E+04   0.195077E+02   0.230756E-01   0.723473E+02
   318   0.221178E+04   0.196401E+02   0.231582E-01   0.704048E+02
   319   0.218874E+04   0.197689E+02   0.232409E-01   0.684362E+02
   320   0.216621E+04   0.198941E+02   0.233235E-01   0.664430E+02
   321   0.214422E+04   0.200155E+02   0.234062E-01   0.644264E+02
   322   0.212276E+04   0.201330E+02   0.234889E-01   0.623866E+02
   323   0.210185E+04   0.202466E+02   0.235717E-01   0.603253E+02
   324   0.208146E+04   0.203562E+02   0.236546E-01   0.582443E+02
   325   0.206162E+04   0.204618E+02   0.237376E-01   0.561438E+02
   326   0.204232E+04   0.205633E+02   0.238207E-01   0.540255E+02
   327   0.202357E+04   0.206606E+02   0.239039E-01   0.518897E+02
   328   0.200536E+04   0.207537E+02   0.239873E-01   0.497382E+02
   329   0.198770E+04   0.208425E+02   0.240709E-01   0.475734E+02
   330   0.197060E+04   0.209269E+02   0.241547E-01   0.453949E+02
   331   0.195405E+04   0.210069E+02   0.242388E-01   0.432043E+02
   332   0.193806E+04   0.210825E+02   0.243230E-01   0.410027E+02
   333   0.192262E+04   0.211534E+02   0.244076E-01   0.387926E+02
   334   0.190774E+04   0.212197E+02   0.244924E-01   0.365741E+02
   335   0.189342E+04   0.212812E+02   0.245775E-01   0.343491E+02
   336   0.187967E+04   0.213380E+02   0.246630E-01   0.321185E+02
   337   0.186647E+04   0.213900E+02   0.247488E-01   0.298848E+02
