#    L    TT             EE             BB             TE          
   394   0.193518E+04   0.163150E+02   0.306948E-01  -0.684873E+02
   395   0.194641E+04   0.161246E+02   0.308202E-01  -0.692538E+02
   396   0.195778E+04   0.159329E+02   0.309463E-01  -0.699728E+02
   397   0.196926E+04   0.157399E+02   0.310730E-01  -0.706434E+02
   398   0.198085E+04   0.155458E+02   0.312004E-01  -0.712649E+02
   399   0.199253E+04   0.153506E+02   0.313283E-01  -0.718367E+02
   400   0.200429E+04   0.151546E+02   0.314569E-01  -0.723579E+02
   401   0.201613E+04   0.149578E+02   0.315861E-01  -0.728281E+02
   402   0.202802E+04   0.147605E+02   0.317159E-01  -0.732475E+02
   403   0.203997E+04   0.145626E+02   0.318462E-01  -0.736166E+02
   404   0.205197E+04   0.143644E+02   0.319772E-01  -0.739359E+02
   405   0.206402E+04   0.141658E+02   0.321087E-01  -0.742058E+02
   406   0.207610E+04   0.139671E+02   0.322407E-01  -0.744268E+02
   407   0.208821E+04   0.137684E+02   0.323733E-01  -0.745994E+02
   408   0.210035E+04   0.135696E+02   0.325063E-01  -0.747239E+02
   409   0.211250E+04   0.133712E+02   0.326399E-01  -0.748010E+02
   410   0.212468E+04   0.131730E+02   0.327740E-01  -0.748309E+02
   411   0.213684E+04   0.129752E+02   0.329086E-01  -0.748145E+02
   412   0.214900E+04   0.127779E+02   0.330436E-01  -0.747521E+02
   413   0.216116E+04   0.125813E+02   0.331791E-01  -0.746445E+02
   414   0.217330E+04   0.123856E+02   0.333151E-01  -0.744921E+02
   415   0.218541E+04   0.121908E+02   0.334514E-01  -0.742956E+02
   416   0.219750E+04   0.119970E+02   0.335882E-01  -0.740556E+02
   417   0.220954E+04   0.118045E+02   0.337253E-01  -0.737725E+02
   418   0.222155E+04   0.116134E+02   0.338628E-01  -0.734471E+02
   419   0.223349E+04   0.114237E+02   0.340006E-01  -0.730797E+02
   420   0.224539E+04   0.112356E+02   0.341388E-01  -0.726712E+02
   421   0.225723E+04   0.110492E+02   0.342773E-01  -0.722220E+02
   422   0.226898E+04   0.108646E+02   0.344161E-01  -0.717326E+02
   423   0.228067E+04   0.106820E+02   0.345551E-01  -0.712036E+02
   424   0.229226E+04   0.105015E+02   0.346944E-01  -0.706357E+02
   425   0.230376E+04   0.103232E+02   0.348339E-01  -0.700295E+02
   426   0.231516E+04   0.101473E+02   0.349735E-01  -0.693860E+02
   427   0.232644E+04   0.997410E+01   0.351134E-01  -0.687058E+02
   428   0.233760E+04   0.980370E+01   0.352534E-01  -0.679897E+02
   429   0.234863E+04   0.963621E+01   0.353935E-01  -0.672386E+02
   430   0.235951E+04   0.947181E+01   0.355338E-01  -0.664531E+02
   431   0.237024E+04   0.931081E+01   0.356740E-01  -0.656341E+02
   432   0.238081E+04   0.915322E+01   0.358144E-01  -0.647824E+02
   433   0.239122E+04   0.899923E+01   0.359547E-01  -0.638987E+02
   434   0.240145E+04   0.884906E+01   0.360950E-01  -0.629838E+02
   435   0.241151E+04   0.870274E+01   0.362353E-01  -0.620385E+02
   436   0.242138E+04   0.856052E+01   0.363755E-01  -0.610634E+02
   437   0.243105E+04   0.842249E+01   0.365156E-01  -0.600595E+02
   438   0.244052E+04   0.828888E+01   0.366556E-01  -0.590275E+02
   439   0.244978E+04   0.815980E+01   0.367954E-01  -0.579681E+02
   440   0.245882E+04   0.803541E+01   0.369351E-01  -0.568824E+02
   441   0.246763E+04   0.791596E+01   0.370745E-01  -0.557712E+02
   442   0.247618E+04   0.780153E+01   0.372137E-01  -0.546354E+02
   443   0.248449E+04   0.769238E+01   0.373526E-01  -0.534758E+02
   444   0.249253E+04   0.758867E+01   0.374911E-01  -0.522934E+02
   445   0.250028E+04   0.749049E+01   0.376294E-01  -0.510891E+02
   446   0.250776E+04   0.739817E+01   0.377673E-01  -0.498639E+02
   447   0.251493E+04   0.731179E+01   0.379048E-01  -0.486188E+02
   448   0.252182E+04   0.723160E+01   0.380418E-01  -0.473550E+02
   449   0.252839E+04   0.715777E+01   0.381784E-01  -0.460736E+02
   450   0.253465E+04   0.709038E+01   0.383146E-01  -0.447755E+02
   451   0.254059E+04   0.702974E+01   0.384502E-01  -0.434619E+02
   452   0.254622E+04   0.697574E+01   0.385853E-01  -0.421335E+02
   453   0.255153E+04   0.692842E+01   0.387199E-01  -0.407909E+02
   454   0.255652E+04   0.688774E+01   0.388538E-01  -0.394349E+02
   455   0.256119E+04   0.685365E+01   0.389872E-01  -0.380661E+02
   456   0.256555E+04   0.682612E+01   0.391199E-01  -0.366852E+02
   457   0.256958E+04   0.680509E+01   0.392519E-01  -0.352930E+02
   458   0.257329E+04   0.679060E+01   0.393833E-01  -0.338899E+02
   459   0.257668E+04   0.678260E+01   0.395139E-01  -0.324771E+02
   460   0.257975E+04   0.678105E+01   0.396439E-01  -0.310552E+02
   461   0.258250E+04   0.678591E+01   0.397730E-01  -0.296247E+02
   462   0.258496E+04   0.679729E+01   0.399014E-01  -0.281884E+02
   463   0.258709E+04   0.681513E+01   0.400290E-01  -0.267458E+02
   464   0.258895E+04   0.683940E+01   0.401558E-01  -0.252986E+02
   465   0.259050E+04   0.687013E+01   0.402818E-01  -0.238475E+02
   466   0.259176E+04   0.690727E+01   0.404069E-01  -0.223943E+02
   467   0.259274E+04   0.695086E+01   0.405312E-01  -0.209389E+02
   468   0.259343E+04   0.700085E+01   0.406546E-01  -0.194831E+02
   469   0.259383E+04   0.705720E+01   0.407770E-01  -0.180277E+02
   470   0.259393E+04   0.711986E+01   0.408986E-01  -0.165735E+02
   471   0.259375E+04   0.718888E+01   0.410192E-01  -0.151207E+02
   472   0.259327E+04   0.726427E+01   0.411389E-01  -0.136717E+02
   473   0.259250E+04   0.734593E+01   0.412576E-01  -0.122257E+02
   474   0.259145E+04   0.743380E+01   0.413753E-01  -0.107860E+02
   475   0.259011E+04   0.752800E+01   0.414921E-01  -0.935192E+01
   476   0.258849E+04   0.762849E+01   0.416078E-01  -0.792499E+01
   477   0.258660E+04   0.773514E+01   0.417226E-01  -0.650687E+01
   478   0.258444E+04   0.784806E+01   0.418363E-01  -0.509843E+01
   479   0.258203E+04   0.796722E+01   0.419490E-01  -0.370155E+01
   480   0.257934E+04   0.809264E+01   0.420606E-01  -0.231653E+01
   481   0.257642E+04   0.822412E+01   0.421712E-01  -0.944947E+00
   482   0.257322E+04   0.836187E+01   0.422808E-01   0.412021E+00
   483   0.256978E+04   0.850574E+01   0.423892E-01   0.175314E+01
   484   0.256608E+04   0.865579E+01   0.424966E-01   0.307719E+01
   485   0.256211E+04   0.881196E+01   0.426028E-01   0.438299E+01
   486   0.255790E+04   0.897422E+01   0.427080E-01   0.566925E+01
   487   0.255344E+04   0.914252E+01   0.428121E-01   0.693479E+01
   488   0.254873E+04   0.931697E+01   0.429150E-01   0.817825E+01
   489   0.254379E+04   0.949738E+01   0.430168E-01   0.939823E+01
   490   0.253860E+04   0.968386E+01   0.431175E-01   0.105934E+02
   491   0.253318E+04   0.987636E+01   0.432170E-01   0.117624E+02
   492   0.252754E+04   0.100748E+02   0.433154E-01   0.129039E+02
   493   0.252169E+04   0.102791E+02   0.434126E-01   0.140164E+02
   494   0.251562E+04   0.104895E+02   0.435087E-01   0.150987E+02
   495   0.250935E+04   0.107057E+02   0.436035E-01   0.161493E+02
   496   0.250287E+04   0.109278E+02   0.436973E-01   0.171669E+02
   497   0.249618E+04   0.111558E+02   0.437898E-01   0.181500E+02
   498   0.248929E+04   0.113895E+02   0.438811E-01   0.190972E+02
   499   0.248220E+04   0.116291E+02   0.439713E-01   0.200071E+02
   500   0.247492E+04   0.118744E+02   0.440602E-01   0.208783E+02
   501   0.246744E+04   0.121254E+02   0.441479E-01   0.217098E+02
   502   0.245977E+04   0.123821E+02   0.442345E-01   0.225011E+02
   503   0.245191E+04   0.126441E+02   0.443198E-01   0.232527E+02
   504   0.244388E+04   0.129115E+02   0.444039E-01   0.239642E+02
   505   0.243568E+04   0.131841E+02   0.444868E-01   0.246358E+02
   506   0.242732E+04   0.134617E+02   0.445685E-01   0.252677E+02
   507   0.241880E+04   0.137441E+02   0.446490E-01   0.258599E+02
   508   0.241013E+04   0.140313E+02   0.447282E-01   0.264123E+02
   509   0.240131E+04   0.143231E+02   0.448063E-01   0.269251E+02
   510   0.239236E+04   0.146194E+02   0.448831E-01   0.273982E+02
   511   0.238326E+04   0.149199E+02   0.449587E-01   0.278319E+02
   512   0.237405E+04   0.152245E+02   0.450331E-01   0.282259E+02
   513   0.236471E+04   0.155331E+02   0.451062E-01   0.285805E+02
   514   0.235525E+04   0.158455E+02   0.451782E-01   0.288957E+02
   515   0.234569E+04   0.161615E+02   0.452490E-01   0.291715E+02
   516   0.233602E+04   0.164810E+02   0.453185E-01   0.294078E+02
   517   0.232625E+04   0.168038E+02   0.453869E-01   0.296048E+02
   518   0.231638E+04   0.171298E+02   0.454541E-01   0.297623E+02
   519   0.230643E+04   0.174588E+02   0.455201E-01   0.298804E+02
   520   0.229639E+04   0.177905E+02   0.455850E-01   0.299592E+02
   521   0.228627E+04   0.181249E+02   0.456487E-01   0.299985E+02
   522   0.227608E+04   0.184618E+02   0.457112E-01   0.299985E+02
   523   0.226581E+04   0.188010E+02   0.457727E-01   0.299590E+02
   524   0.225550E+04   0.191423E+02   0.458330E-01   0.298800E+02
   525   0.224512E+04   0.194855E+02   0.458922E-01   0.297617E+02
   526   0.223472E+04   0.198304E+02   0.459503E-01   0.296039E+02
   527   0.222428E+04   0.201770E+02   0.460073E-01   0.294066E+02
   528   0.221382E+04   0.205248E+02   0.460633E-01   0.291699E+02
   529   0.220334E+04   0.208739E+02   0.461183E-01   0.288937E+02
   530   0.219286E+04   0.212239E+02   0.461722E-01   0.285779E+02
   531   0.218237E+04   0.215748E+02   0.462251E-01   0.282225E+02
   532   0.217190E+04   0.219262E+02   0.462770E-01   0.278272E+02
   533   0.216144E+04   0.222780E+02   0.463280E-01   0.273923E+02
   534   0.215101E+04   0.226300E+02   0.463780E-01   0.269175E+02
   535   0.214061E+04   0.229820E+02   0.464271E-01   0.264028E+02
   536   0.213024E+04   0.233339E+02   0.464753E-01   0.258480E+02
   537   0.211994E+04   0.236853E+02   0.465227E-01   0.252532E+02
   538   0.210969E+04   0.240360E+02   0.465691E-01   0.246183E+02
   539   0.209951E+04   0.243860E+02   0.466148E-01   0.239432E+02
   540   0.208940E+04   0.247348E+02   0.466596E-01   0.232281E+02
   541   0.207939E+04   0.250825E+02   0.467037E-01   0.224727E+02
   542   0.206947E+04   0.254286E+02   0.467471E-01   0.216772E+02
   543   0.205965E+04   0.257730E+02   0.467897E-01   0.208414E+02
   544   0.204996E+04   0.261155E+02   0.468316E-01   0.199653E+02
   545   0.204039E+04   0.264559E+02   0.468728E-01   0.190491E+02
   546   0.203096E+04   0.267939E+02   0.469134E-01   0.180927E+02
   547   0.202167E+04   0.271292E+02   0.469534E-01   0.170962E+02
   548   0.201253E+04   0.274616E+02   0.469927E-01   0.160595E+02
   549   0.200356E+04   0.277911E+02   0.470316E-01   0.149827E+02
   550   0.199476E+04   0.281171E+02   0.470698E-01   0.138658E+02
   551   0.198615E+04   0.284397E+02   0.471076E-01   0.127089E+02
   552   0.197772E+04   0.287585E+02   0.471449E-01   0.115128E+02
   553   0.196947E+04   0.290737E+02   0.471817E-01   0.102782E+02
   554   0.196142E+04   0.293851E+02   0.472181E-01   0.900600E+01
   555   0.195356E+04   0.296927E+02   0.472541E-01   0.769700E+01
   556   0.194587E+04   0.299964E+02   0.472897E-01   0.635202E+01
   557   0.193839E+04   0.302962E+02   0.473250E-01   0.497195E+01
   558   0.193109E+04   0.305919E+02   0.473599E-01   0.355760E+01
   559   0.192399E+04   0.308834E+02   0.473946E-01   0.210997E+01
   560   0.191707E+04   0.311709E+02   0.474289E-01   0.629937E+00
   561   0.191035E+04   0.314540E+02   0.474631E-01  -0.881627E+00
   562   0.190381E+04   0.317327E+02   0.474970E-01  -0.242363E+01
   563   0.189747E+04   0.320071E+02   0.475307E-01  -0.399536E+01
   564   0.189133E+04   0.322769E+02   0.475642E-01  -0.559579E+01
   565   0.188538E+04   0.325420E+02   0.475976E-01  -0.722392E+01
   566   0.187962E+04   0.328026E+02   0.476308E-01  -0.887872E+01
   567   0.187406E+04   0.330582E+02   0.476640E-01  -0.105593E+02
   568   0.186869E+04   0.333090E+02   0.476970E-01  -0.122647E+02
   569   0.186352E+04   0.335548E+02   0.477301E-01  -0.139937E+02
   570   0.185855E+04   0.337955E+02   0.477630E-01  -0.157455E+02
   571   0.185377E+04   0.340310E+02   0.477960E-01  -0.175190E+02
   572   0.184920E+04   0.342611E+02   0.478290E-01  -0.193131E+02
   573   0.184483E+04   0.344858E+02   0.478621E-01  -0.211267E+02
   574   0.184066E+04   0.347050E+02   0.478952E-01  -0.229588E+02
   575   0.183671E+04   0.349186E+02   0.479283E-01  -0.248080E+02
   576   0.183297E+04   0.351264E+02   0.479616E-01  -0.266734E+02
   577   0.182944E+04   0.353283E+02   0.479950E-01  -0.285538E+02
   578   0.182614E+04   0.355243E+02   0.480286E-01  -0.304482E+02
   579   0.182304E+04   0.357142E+02   0.480623E-01  -0.323553E+02
   580   0.182018E+04   0.358978E+02   0.480962E-01  -0.342739E+02
   581   0.181754E+04   0.360751E+02   0.481303E-01  -0.362031E+02
   582   0.181513E+04   0.362458E+02   0.481647E-01  -0.381416E+02
   583   0.181294E+04   0.364100E+02   0.481993E-01  -0.400883E+02
   584   0.181099E+04   0.365675E+02   0.482342E-01  -0.420421E+02
   585   0.180927E+04   0.367181E+02   0.482694E-01  -0.440017E+02
   586   0.180779E+04   0.368617E+02   0.483049E-01  -0.459659E+02
   587   0.180655E+04   0.369982E+02   0.483407E-01  -0.479335E+02
   588   0.180555E+04   0.371274E+02   0.483769E-01  -0.499032E+02
   589   0.180479E+04   0.372492E+02   0.484135E-01  -0.518738E+02
   590   0.180428E+04   0.373635E+02   0.484505E-01  -0.538439E+02
   591   0.180402E+04   0.374701E+02   0.484879E-01  -0.558122E+02
   592   0.180402E+04   0.375689E+02   0.485258E-01  -0.577776E+02
   593   0.180426E+04   0.376598E+02   0.485641E-01  -0.597386E+02
   594   0.180476E+04   0.377425E+02   0.486029E-01  -0.616939E+02
   595   0.180553E+04   0.378169E+02   0.486422E-01  -0.636420E+02
   596   0.180655E+04   0.378830E+02   0.486820E-01  -0.655817E+02
   597   0.180784E+04   0.379405E+02   0.487224E-01  -0.675117E+02
   598   0.180939E+04   0.379893E+02   0.487634E-01  -0.694304E+02
   599   0.181122E+04   0.380293E+02   0.488049E-01  -0.713365E+02
   600   0.181331E+04   0.380602E+02   0.488470E-01  -0.732285E+02
   601   0.181568E+04   0.380821E+02   0.488898E-01  -0.751052E+02
   602   0.181831E+04   0.380949E+02   0.489332E-01  -0.769657E+02
   603   0.182122E+04   0.380988E+02   0.489772E-01  -0.788098E+02
   604   0.182438E+04   0.380938E+02   0.490219E-01  -0.806371E+02
   605   0.182779E+04   0.380802E+02   0.490673E-01  -0.824470E+02
   606   0.183145E+04   0.380581E+02   0.491135E-01  -0.842391E+02
   607   0.183536E+04   0.380275E+02   0.491603E-01  -0.860129E+02
   608   0.183951E+04   0.379886E+02   0.492079E-01  -0.877680E+02
   609   0.184390E+04   0.379415E+02   0.492563E-01  -0.895037E+02
   610   0.184851E+04   0.378862E+02   0.493054E-01  -0.912196E+02
   611   0.185335E+04   0.378229E+02   0.493553E-01  -0.929152E+02
   612   0.185841E+04   0.377517E+02   0.494060E-01  -0.945900E+02
   613   0.186368E+04   0.376727E+02   0.494575E-01  -0.962433E+02
   614   0.186918E+04   0.375861E+02   0.495099E-01  -0.978746E+02
   615   0.187487E+04   0.374918E+02   0.495630E-01  -0.994832E+02
   616   0.188076E+04   0.373901E+02   0.496170E-01  -0.101068E+03
   617   0.188686E+04   0.372812E+02   0.496719E-01  -0.102629E+03
   618   0.189315E+04   0.371651E+02   0.497276E-01  -0.104165E+03
   619   0.189962E+04   0.370419E+02   0.497842E-01  -0.105676E+03
   620   0.190627E+04   0.369118E+02   0.498416E-01  -0.107160E+03
   621   0.191311E+04   0.367749E+02   0.498999E-01  -0.108617E+03
   622   0.192012E+04   0.366312E+02   0.499592E-01  -0.110046E+03
   623   0.192729E+04   0.364810E+02   0.500192E-01  -0.111447E+03
   624   0.193463E+04   0.363243E+02   0.500802E-01  -0.112819E+03
   625   0.194212E+04   0.361612E+02   0.501421E-01  -0.114161E+03
   626   0.194977E+04   0.359918E+02   0.502048E-01  -0.115472E+03
   627   0.195755E+04   0.358162E+02   0.502685E-01  -0.116752E+03
   628   0.196549E+04   0.356345E+02   0.503330E-01  -0.117999E+03
   629   0.197355E+04   0.354469E+02   0.503984E-01  -0.119214E+03
   630   0.198174E+04   0.352535E+02   0.504647E-01  -0.120394E+03
   631   0.199005E+04   0.350543E+02   0.505318E-01  -0.121540E+03
   632   0.199848E+04   0.348496E+02   0.505999E-01  -0.122650E+03
   633   0.200702E+04   0.346393E+02   0.506688E-01  -0.123724E+03
   634   0.201567E+04   0.344237E+02   0.507385E-01  -0.124760E+03
   635   0.202441E+04   0.342028E+02   0.508091E-01  -0.125758E+03
   636   0.203325E+04   0.339768E+02   0.508806E-01  -0.126717E+03
   637   0.204218E+04   0.337458E+02   0.509528E-01  -0.127635E+03
   638   0.205119E+04   0.335098E+02   0.510259E-01  -0.128513E+03
   639   0.206027E+04   0.332692E+02   0.510998E-01  -0.129348E+03
   640   0.206942E+04   0.330239E+02   0.511746E-01  -0.130141E+03
   641   0.207863E+04   0.327741E+02   0.512501E-01  -0.130889E+03
   642   0.208789E+04   0.325199E+02   0.513263E-01  -0.131592E+03
   643   0.209721E+04   0.322614E+02   0.514034E-01  -0.132250E+03
   644   0.210656E+04   0.319988E+02   0.514812E-01  -0.132860E+03
   645   0.211596E+04   0.317321E+02   0.515597E-01  -0.133422E+03
   646   0.212538E+04   0.314615E+02   0.516389E-01  -0.133935E+03
   647   0.213482E+04   0.311871E+02   0.517189E-01  -0.134398E+03
   648   0.214428E+04   0.309089E+02   0.517995E-01  -0.134810E+03
   649   0.215374E+04   0.306273E+02   0.518808E-01  -0.135169E+03
   650   0.216321E+04   0.303422E+02   0.519627E-01  -0.135475E+03
   651   0.217266E+04   0.300539E+02   0.520453E-01  -0.135727E+03
   652   0.218211E+04   0.297627E+02   0.521285E-01  -0.135924E+03
   653   0.219154E+04   0.294686E+02   0.522124E-01  -0.136068E+03
   654   0.220096E+04   0.291717E+02   0.522968E-01  -0.136160E+03
   655   0.221036E+04   0.288723E+02   0.523817E-01  -0.136200E+03
   656   0.221974E+04   0.285706E+02   0.524673E-01  -0.136188E+03
   657   0.222909E+04   0.282667E+02   0.525533E-01  -0.136125E+03
   658   0.223841E+04   0.279607E+02   0.526399E-01  -0.136012E+03
   659   0.224769E+04   0.276527E+02   0.527270E-01  -0.135849E+03
   660   0.225694E+04   0.273431E+02   0.528145E-01  -0.135637E+03
   661   0.226615E+04   0.270318E+02   0.529025E-01  -0.135377E+03
   662   0.227531E+04   0.267190E+02   0.529909E-01  -0.135068E+03
   663   0.228442E+04   0.264050E+02   0.530797E-01  -0.134711E+03
   664   0.229347E+04   0.260898E+02   0.531690E-01  -0.134308E+03
   665   0.230247E+04   0.257738E+02   0.532586E-01  -0.133858E+03
   666   0.231140E+04   0.254569E+02   0.533486E-01  -0.133362E+03
   667   0.232026E+04   0.251396E+02   0.534389E-01  -0.132821E+03
   668   0.232905E+04   0.248218E+02   0.535295E-01  -0.132235E+03
   669   0.233776E+04   0.245037E+02   0.536204E-01  -0.131604E+03
   670   0.234639E+04   0.241857E+02   0.537116E-01  -0.130930E+03
   671   0.235494E+04   0.238678E+02   0.538030E-01  -0.130212E+03
   672   0.236339E+04   0.235503E+02   0.538946E-01  -0.129451E+03
   673   0.237174E+04   0.232333E+02   0.539865E-01  -0.128648E+03
   674   0.237999E+04   0.229171E+02   0.540786E-01  -0.127804E+03
   675   0.238813E+04   0.226018E+02   0.541708E-01  -0.126918E+03
   676   0.239617E+04   0.222876E+02   0.542631E-01  -0.125991E+03
   677   0.240408E+04   0.219749E+02   0.543556E-01  -0.125024E+03
   678   0.241186E+04   0.216635E+02   0.544481E-01  -0.124017E+03
   679   0.241951E+04   0.213539E+02   0.545408E-01  -0.122971E+03
   680   0.242703E+04   0.210462E+02   0.546334E-01  -0.121885E+03
   681   0.243441E+04   0.207406E+02   0.547261E-01  -0.120761E+03
   682   0.244163E+04   0.204372E+02   0.548188E-01  -0.119599E+03
   683   0.244870E+04   0.201363E+02   0.549115E-01  -0.118400E+03
   684   0.245561E+04   0.198381E+02   0.550041E-01  -0.117163E+03
   685   0.246235E+04   0.195429E+02   0.550966E-01  -0.115890E+03
   686   0.246891E+04   0.192509E+02   0.551890E-01  -0.114581E+03
   687   0.247529E+04   0.189625E+02   0.552813E-01  -0.113237E+03
   688   0.248149E+04   0.186778E+02   0.553735E-01  -0.111858E+03
   689   0.248750E+04   0.183970E+02   0.554654E-01  -0.110445E+03
   690   0.249331E+04   0.181207E+02   0.555572E-01  -0.108997E+03
   691   0.249891E+04   0.178487E+02   0.556486E-01  -0.107517E+03
   692   0.250430E+04   0.175815E+02   0.557399E-01  -0.106004E+03
   693   0.250947E+04   0.173193E+02   0.558308E-01  -0.104459E+03
   694   0.251441E+04   0.170623E+02   0.559214E-01  -0.102882E+03
   695   0.251912E+04   0.168108E+02   0.560117E-01  -0.101274E+03
   696   0.252358E+04   0.165649E+02   0.561016E-01  -0.996350E+02
   697   0.252779E+04   0.163250E+02   0.561911E-01  -0.979661E+02
   698   0.253174E+04   0.160913E+02   0.562801E-01  -0.962671E+02
   699   0.253544E+04   0.158641E+02   0.563687E-01  -0.945391E+02
   700   0.253886E+04   0.156436E+02   0.564568E-01  -0.927827E+02
   701   0.254199E+04   0.154300E+02   0.565443E-01  -0.909984E+02
   702   0.254484E+04   0.152234E+02   0.566314E-01  -0.891870E+02
   703   0.254742E+04   0.150237E+02   0.567178E-01  -0.873500E+02
   704   0.254974E+04   0.148310E+02   0.568036E-01  -0.854868E+02
   705   0.255177E+04   0.146452E+02   0.568888E-01  -0.835995E+02
   706   0.255354E+04   0.144663E+02   0.569734E-01  -0.816883E+02
   707   0.255503E+04   0.142944E+02   0.570572E-01  -0.797547E+02
   708   0.255626E+04   0.141292E+02   0.571404E-01  -0.778002E+02
   709   0.255723E+04   0.139710E+02   0.572227E-01  -0.758241E+02
   710   0.255793E+04   0.138197E+02   0.573044E-01  -0.738288E+02
   711   0.255837E+04   0.136752E+02   0.573852E-01  -0.718149E+02
   712   0.255857E+04   0.135377E+02   0.574652E-01  -0.697826E+02
   713   0.255849E+04   0.134069E+02   0.575443E-01  -0.677333E+02
   714   0.255816E+04   0.132830E+02   0.576226E-01  -0.656679E+02
   715   0.255758E+04   0.131659E+02   0.577000E-01  -0.635879E+02
   716   0.255674E+04   0.130556E+02   0.577764E-01  -0.614941E+02
   717   0.255564E+04   0.129521E+02   0.578519E-01  -0.593865E+02
   718   0.255430E+04   0.128554E+02   0.579264E-01  -0.572666E+02
   719   0.255270E+04   0.127655E+02   0.580000E-01  -0.551352E+02
   720   0.255085E+04   0.126824E+02   0.580725E-01  -0.529946E+02
   721   0.254876E+04   0.126064E+02   0.581440E-01  -0.508449E+02
   722   0.254641E+04   0.125372E+02   0.582144E-01  -0.486875E+02
   723   0.254383E+04   0.124750E+02   0.582838E-01  -0.465240E+02
   724   0.254101E+04   0.124200E+02   0.583521E-01  -0.443552E+02
   725   0.253794E+04   0.123720E+02   0.584192E-01  -0.421818E+02
   726   0.253464E+04   0.123312E+02   0.584852E-01  -0.400061E+02
   727   0.253110E+04   0.122975E+02   0.585501E-01  -0.378282E+02
   728   0.252733E+04   0.122709E+02   0.586138E-01  -0.356503E+02
   729   0.252331E+04   0.122516E+02   0.586764E-01  -0.334716E+02
   730   0.251907E+04   0.122395E+02   0.587377E-01  -0.312953E+02
   731   0.251459E+04   0.122347E+02   0.587979E-01  -0.291220E+02
   732   0.250987E+04   0.122371E+02   0.588568E-01  -0.269519E+02
   733   0.250492E+04   0.122469E+02   0.589144E-01  -0.247871E+02
   734   0.249974E+04   0.122640E+02   0.589709E-01  -0.226278E+02
   735   0.249432E+04   0.122886E+02   0.590261E-01  -0.204768E+02
   736   0.248867E+04   0.123207E+02   0.590800E-01  -0.183343E+02
   737   0.248279E+04   0.123603E+02   0.591326E-01  -0.162018E+02
   738   0.247668E+04   0.124075E+02   0.591840E-01  -0.140808E+02
   739   0.247034E+04   0.124624E+02   0.592340E-01  -0.119720E+02
   740   0.246376E+04   0.125250E+02   0.592828E-01  -0.987627E+01
   741   0.245695E+04   0.125954E+02   0.593302E-01  -0.779656E+01
   742   0.244992E+04   0.126736E+02   0.593763E-01  -0.573366E+01
   743   0.244265E+04   0.127597E+02   0.594211E-01  -0.368835E+01
   744   0.243515E+04   0.128539E+02   0.594646E-01  -0.166215E+01
   745   0.242742E+04   0.129561E+02   0.595067E-01   0.343440E+00
   746   0.241945E+04   0.130665E+02   0.595475E-01   0.232615E+01
   747   0.241126E+04   0.131851E+02   0.595870E-01   0.428594E+01
   748   0.240283E+04   0.133119E+02   0.596251E-01   0.622056E+01
   749   0.239418E+04   0.134470E+02   0.596618E-01   0.812849E+01
   750   0.238529E+04   0.135905E+02   0.596972E-01   0.100082E+02
   751   0.237618E+04   0.137424E+02   0.597313E-01   0.118592E+02
   752   0.236683E+04   0.139026E+02   0.597640E-01   0.136812E+02
   753   0.235727E+04   0.140707E+02   0.597953E-01   0.154726E+02
   754   0.234750E+04   0.142468E+02   0.598253E-01   0.172350E+02
   755   0.233752E+04   0.144306E+02   0.598539E-01   0.189675E+02
   756   0.232732E+04   0.146219E+02   0.598811E-01   0.206701E+02
   757   0.231694E+04   0.148207E+02   0.599071E-01   0.223428E+02
   758   0.230637E+04   0.150267E+02   0.599316E-01   0.239840E+02
   759   0.229562E+04   0.152398E+02   0.599548E-01   0.255953E+02
   760   0.228468E+04   0.154598E+02   0.599766E-01   0.271758E+02
   761   0.227358E+04   0.156865E+02   0.599971E-01   0.287255E+02
   762   0.226230E+04   0.159198E+02   0.600163E-01   0.302443E+02
   763   0.225086E+04   0.161594E+02   0.600341E-01   0.317315E+02
   764   0.223925E+04   0.164051E+02   0.600505E-01   0.331886E+02
   765   0.222749E+04   0.166568E+02   0.600657E-01   0.346139E+02
   766   0.221558E+04   0.169144E+02   0.600795E-01   0.360083E+02
   767   0.220351E+04   0.171774E+02   0.600919E-01   0.373716E+02
   768   0.219130E+04   0.174460E+02   0.601031E-01   0.387039E+02
   769   0.217894E+04   0.177198E+02   0.601129E-01   0.400035E+02
   770   0.216645E+04   0.179988E+02   0.601215E-01   0.412706E+02
   771   0.215383E+04   0.182827E+02   0.601287E-01   0.425049E+02
   772   0.214108E+04   0.185714E+02   0.601347E-01   0.437066E+02
   773   0.212821E+04   0.188648E+02   0.601393E-01   0.448740E+02
   774   0.211521E+04   0.191627E+02   0.601427E-01   0.460071E+02
   775   0.210211E+04   0.194648E+02   0.601449E-01   0.471058E+02
   776   0.208890E+04   0.197711E+02   0.601458E-01   0.481688E+02
   777   0.207560E+04   0.200814E+02   0.601454E-01   0.491965E+02
   778   0.206222E+04   0.203954E+02   0.601438E-01   0.501876E+02
   779   0.204875E+04   0.207130E+02   0.601410E-01   0.511426E+02
   780   0.203521E+04   0.210340E+02   0.601370E-01   0.520594E+02
   781   0.202162E+04   0.213582E+02   0.601319E-01   0.529386E+02
   782   0.200795E+04   0.216853E+02   0.601255E-01   0.537794E+02
   783   0.199424E+04   0.220154E+02   0.601180E-01   0.545825E+02
   784   0.198047E+04   0.223480E+02   0.601093E-01   0.553464E+02
