#    L    TT             EE             TE             PP             TP          
   617   0.187909E+04   0.377657E+02  -0.104475E+03   0.414781E+06  -0.917848E+02
   618   0.188558E+04   0.376475E+02  -0.106071E+03   0.413745E+06  -0.898617E+02
   619   0.189226E+04   0.375219E+02  -0.107640E+03   0.412714E+06  -0.879601E+02
   620   0.189913E+04   0.373892E+02  -0.109183E+03   0.411687E+06  -0.860798E+02
   621   0.190620E+04   0.372495E+02  -0.110698E+03   0.410663E+06  -0.842209E+02
   622   0.191345E+04   0.371027E+02  -0.112185E+03   0.409644E+06  -0.823832E+02
   623   0.192086E+04   0.369490E+02  -0.113642E+03   0.408629E+06  -0.805669E+02
   624   0.192845E+04   0.367886E+02  -0.115070E+03   0.407618E+06  -0.787717E+02
   625   0.193620E+04   0.366216E+02  -0.116467E+03   0.406611E+06  -0.769978E+02
   626   0.194411E+04   0.364480E+02  -0.117833E+03   0.405608E+06  -0.752451E+02
   627   0.195217E+04   0.362679E+02  -0.119166E+03   0.404609E+06  -0.735135E+02
   628   0.196039E+04   0.360815E+02  -0.120467E+03   0.403613E+06  -0.718030E+02
   629   0.196874E+04   0.358889E+02  -0.121734E+03   0.402622E+06  -0.701137E+02
   630   0.197722E+04   0.356903E+02  -0.122966E+03   0.401635E+06  -0.684454E+02
   631   0.198584E+04   0.354856E+02  -0.124162E+03   0.400651E+06  -0.667981E+02
   632   0.199458E+04   0.352751E+02  -0.125321E+03   0.399671E+06  -0.651718E+02
   633   0.200344E+04   0.350588E+02  -0.126444E+03   0.398695E+06  -0.635666E+02
   634   0.201241E+04   0.348369E+02  -0.127527E+03   0.397723E+06  -0.619822E+02
   635   0.202148E+04   0.346095E+02  -0.128572E+03   0.396755E+06  -0.604188E+02
   636   0.203066E+04   0.343767E+02  -0.129576E+03   0.395790E+06  -0.588763E+02
   637   0.203993E+04   0.341386E+02  -0.130539E+03   0.394829E+06  -0.573546E+02
   638   0.204929E+04   0.338954E+02  -0.131459E+03   0.393872E+06  -0.558538E+02
   639   0.205873E+04   0.336473E+02  -0.132337E+03   0.392918E+06  -0.543737E+02
   640   0.206824E+04   0.333942E+02  -0.133170E+03   0.391968E+06  -0.529145E+02
   641   0.207782E+04   0.331365E+02  -0.133958E+03   0.391022E+06  -0.514759E+02
   642   0.208745E+04   0.328740E+02  -0.134699E+03   0.390079E+06  -0.500581E+02
   643   0.209715E+04   0.326071E+02  -0.135394E+03   0.389140E+06  -0.486610E+02
   644   0.210689E+04   0.323359E+02  -0.136040E+03   0.388205E+06  -0.472845E+02
   645   0.211667E+04   0.320603E+02  -0.136636E+03   0.387273E+06  -0.459287E+02
   646   0.212649E+04   0.317805E+02  -0.137182E+03   0.386344E+06  -0.445934E+02
   647   0.213633E+04   0.314968E+02  -0.137676E+03   0.385419E+06  -0.432787E+02
   648   0.214618E+04   0.312091E+02  -0.138118E+03   0.384498E+06  -0.419845E+02
   649   0.215605E+04   0.309178E+02  -0.138506E+03   0.383580E+06  -0.407109E+02
   650   0.216593E+04   0.306228E+02  -0.138839E+03   0.382665E+06  -0.394577E+02
   651   0.217580E+04   0.303244E+02  -0.139116E+03   0.381754E+06  -0.382250E+02
   652   0.218566E+04   0.300228E+02  -0.139338E+03   0.380846E+06  -0.370126E+02
   653   0.219552E+04   0.297182E+02  -0.139505E+03   0.379942E+06  -0.358204E+02
   654   0.220536E+04   0.294108E+02  -0.139617E+03   0.379041E+06  -0.346485E+02
   655   0.221519E+04   0.291005E+02  -0.139676E+03   0.378143E+06  -0.334966E+02
   656   0.222500E+04   0.287878E+02  -0.139682E+03   0.377248E+06  -0.323647E+02
   657   0.223478E+04   0.284727E+02  -0.139636E+03   0.376357E+06  -0.312526E+02
   658   0.224453E+04   0.281554E+02  -0.139537E+03   0.375469E+06  -0.301604E+02
   659   0.225426E+04   0.278359E+02  -0.139387E+03   0.374585E+06  -0.290878E+02
   660   0.226395E+04   0.275147E+02  -0.139186E+03   0.373703E+06  -0.280348E+02
   661   0.227359E+04   0.271916E+02  -0.138935E+03   0.372825E+06  -0.270014E+02
   662   0.228319E+04   0.268669E+02  -0.138633E+03   0.371950E+06  -0.259873E+02
   663   0.229274E+04   0.265409E+02  -0.138283E+03   0.371079E+06  -0.249926E+02
   664   0.230224E+04   0.262136E+02  -0.137884E+03   0.370210E+06  -0.240170E+02
   665   0.231169E+04   0.258853E+02  -0.137436E+03   0.369345E+06  -0.230606E+02
   666   0.232106E+04   0.255561E+02  -0.136941E+03   0.368483E+06  -0.221233E+02
   667   0.233036E+04   0.252263E+02  -0.136399E+03   0.367624E+06  -0.212048E+02
   668   0.233960E+04   0.248960E+02  -0.135809E+03   0.366768E+06  -0.203052E+02
   669   0.234876E+04   0.245653E+02  -0.135174E+03   0.365915E+06  -0.194244E+02
   670   0.235783E+04   0.242345E+02  -0.134493E+03   0.365066E+06  -0.185622E+02
   671   0.236682E+04   0.239039E+02  -0.133767E+03   0.364219E+06  -0.177185E+02
   672   0.237571E+04   0.235735E+02  -0.132996E+03   0.363375E+06  -0.168933E+02
   673   0.238451E+04   0.232437E+02  -0.132181E+03   0.362535E+06  -0.160865E+02
   674   0.239319E+04   0.229145E+02  -0.131323E+03   0.361697E+06  -0.152980E+02
   675   0.240177E+04   0.225862E+02  -0.130421E+03   0.360863E+06  -0.145276E+02
   676   0.241024E+04   0.222590E+02  -0.129477E+03   0.360031E+06  -0.137753E+02
   677   0.241858E+04   0.219332E+02  -0.128490E+03   0.359203E+06  -0.130411E+02
   678   0.242679E+04   0.216088E+02  -0.127462E+03   0.358377E+06  -0.123247E+02
   679   0.243488E+04   0.212861E+02  -0.126393E+03   0.357555E+06  -0.116261E+02
   680   0.244282E+04   0.209654E+02  -0.125283E+03   0.356735E+06  -0.109452E+02
   681   0.245062E+04   0.206467E+02  -0.124132E+03   0.355918E+06  -0.102819E+02
   682   0.245825E+04   0.203303E+02  -0.122942E+03   0.355104E+06  -0.963615E+01
   683   0.246574E+04   0.200163E+02  -0.121712E+03   0.354293E+06  -0.900782E+01
   684   0.247306E+04   0.197051E+02  -0.120443E+03   0.353485E+06  -0.839681E+01
   685   0.248020E+04   0.193970E+02  -0.119137E+03   0.352680E+06  -0.780303E+01
   686   0.248717E+04   0.190920E+02  -0.117792E+03   0.351878E+06  -0.722640E+01
   687   0.249395E+04   0.187908E+02  -0.116410E+03   0.351078E+06  -0.666681E+01
   688   0.250054E+04   0.184932E+02  -0.114992E+03   0.350281E+06  -0.612417E+01
   689   0.250693E+04   0.181997E+02  -0.113538E+03   0.349487E+06  -0.559838E+01
   690   0.251312E+04   0.179107E+02  -0.112047E+03   0.348696E+06  -0.508936E+01
   691   0.251910E+04   0.176262E+02  -0.110522E+03   0.347907E+06  -0.459700E+01
   692   0.252486E+04   0.173465E+02  -0.108963E+03   0.347121E+06  -0.412121E+01
   693   0.253039E+04   0.170719E+02  -0.107371E+03   0.346338E+06  -0.366190E+01
   694   0.253569E+04   0.168027E+02  -0.105744E+03   0.345558E+06  -0.321898E+01
   695   0.254075E+04   0.165390E+02  -0.104085E+03   0.344780E+06  -0.279234E+01
   696   0.254555E+04   0.162811E+02  -0.102394E+03   0.344005E+06  -0.238189E+01
   697   0.255011E+04   0.160293E+02  -0.100670E+03   0.343232E+06  -0.198755E+01
   698   0.255439E+04   0.157839E+02  -0.989154E+02   0.342462E+06  -0.160921E+01
   699   0.255841E+04   0.155450E+02  -0.971299E+02   0.341695E+06  -0.124678E+01
   700   0.256214E+04   0.153131E+02  -0.953145E+02   0.340930E+06  -0.900162E+00
   701   0.256558E+04   0.150883E+02  -0.934696E+02   0.340168E+06  -0.569270E+00
   702   0.256874E+04   0.148706E+02  -0.915961E+02   0.339409E+06  -0.254013E+00
   703   0.257161E+04   0.146600E+02  -0.896956E+02   0.338652E+06   0.456933E-01
   704   0.257421E+04   0.144566E+02  -0.877674E+02   0.337897E+06   0.329935E+00
   705   0.257652E+04   0.142603E+02  -0.858137E+02   0.337146E+06   0.598796E+00
   706   0.257856E+04   0.140710E+02  -0.838348E+02   0.336396E+06   0.852364E+00
   707   0.258031E+04   0.138890E+02  -0.818320E+02   0.335649E+06   0.109072E+01
   708   0.258179E+04   0.137139E+02  -0.798071E+02   0.334905E+06   0.131396E+01
   709   0.258300E+04   0.135461E+02  -0.777593E+02   0.334163E+06   0.152215E+01
   710   0.258394E+04   0.133854E+02  -0.756910E+02   0.333424E+06   0.171540E+01
   711   0.258461E+04   0.132317E+02  -0.736029E+02   0.332687E+06   0.189377E+01
   712   0.258501E+04   0.130852E+02  -0.714952E+02   0.331953E+06   0.205737E+01
   713   0.258514E+04   0.129457E+02  -0.693695E+02   0.331220E+06   0.220626E+01
   714   0.258500E+04   0.128134E+02  -0.672264E+02   0.330491E+06   0.234055E+01
   715   0.258461E+04   0.126882E+02  -0.650677E+02   0.329764E+06   0.246031E+01
   716   0.258395E+04   0.125701E+02  -0.628941E+02   0.329039E+06   0.256563E+01
   717   0.258302E+04   0.124589E+02  -0.607058E+02   0.328317E+06   0.265659E+01
   718   0.258183E+04   0.123549E+02  -0.585042E+02   0.327597E+06   0.273329E+01
   719   0.258037E+04   0.122580E+02  -0.562902E+02   0.326879E+06   0.279579E+01
   720   0.257866E+04   0.121682E+02  -0.540662E+02   0.326164E+06   0.284420E+01
   721   0.257669E+04   0.120857E+02  -0.518321E+02   0.325451E+06   0.287860E+01
   722   0.257446E+04   0.120105E+02  -0.495896E+02   0.324740E+06   0.289907E+01
   723   0.257198E+04   0.119426E+02  -0.473402E+02   0.324032E+06   0.290569E+01
   724   0.256925E+04   0.118820E+02  -0.450848E+02   0.323326E+06   0.289855E+01
   725   0.256627E+04   0.118289E+02  -0.428241E+02   0.322622E+06   0.287775E+01
   726   0.256304E+04   0.117833E+02  -0.405605E+02   0.321921E+06   0.284335E+01
   727   0.255956E+04   0.117451E+02  -0.382941E+02   0.321222E+06   0.279546E+01
   728   0.255584E+04   0.117144E+02  -0.360272E+02   0.320525E+06   0.273414E+01
   729   0.255186E+04   0.116914E+02  -0.337590E+02   0.319831E+06   0.265950E+01
   730   0.254764E+04   0.116758E+02  -0.314928E+02   0.319139E+06   0.257161E+01
   731   0.254317E+04   0.116679E+02  -0.292292E+02   0.318448E+06   0.247056E+01
   732   0.253846E+04   0.116676E+02  -0.269684E+02   0.317761E+06   0.235644E+01
   733   0.253350E+04   0.116751E+02  -0.247126E+02   0.317075E+06   0.222932E+01
   734   0.252830E+04   0.116902E+02  -0.224620E+02   0.316392E+06   0.208930E+01
   735   0.252285E+04   0.117132E+02  -0.202196E+02   0.315710E+06   0.193646E+01
   736   0.251716E+04   0.117440E+02  -0.179855E+02   0.315031E+06   0.177089E+01
   737   0.251122E+04   0.117828E+02  -0.157613E+02   0.314355E+06   0.159267E+01
   738   0.250505E+04   0.118295E+02  -0.135484E+02   0.313680E+06   0.140189E+01
   739   0.249863E+04   0.118842E+02  -0.113478E+02   0.313007E+06   0.119863E+01
   740   0.249197E+04   0.119471E+02  -0.916032E+01   0.312337E+06   0.982973E+00
   741   0.248506E+04   0.120181E+02  -0.698892E+01   0.311668E+06   0.755012E+00
   742   0.247791E+04   0.120974E+02  -0.483445E+01   0.311002E+06   0.514831E+00
   743   0.247053E+04   0.121849E+02  -0.269774E+01   0.310338E+06   0.262513E+00
   744   0.246289E+04   0.122809E+02  -0.580367E+00   0.309676E+06  -0.185573E-02
   745   0.245502E+04   0.123853E+02   0.151611E+01   0.309016E+06  -0.278190E+00
   746   0.244690E+04   0.124983E+02   0.358939E+01   0.308358E+06  -0.566404E+00
   747   0.243853E+04   0.126199E+02   0.563938E+01   0.307702E+06  -0.866413E+00
   748   0.242993E+04   0.127500E+02   0.766377E+01   0.307048E+06  -0.117813E+01
   749   0.242109E+04   0.128889E+02   0.966101E+01   0.306397E+06  -0.150147E+01
   750   0.241200E+04   0.130366E+02   0.116295E+02   0.305747E+06  -0.183636E+01
   751   0.240268E+04   0.131930E+02   0.135687E+02   0.305099E+06  -0.218266E+01
   752   0.239311E+04   0.133581E+02   0.154783E+02   0.304453E+06  -0.254019E+01
   753   0.238332E+04   0.135316E+02   0.173567E+02   0.303810E+06  -0.290868E+01
   754   0.237330E+04   0.137134E+02   0.192053E+02   0.303168E+06  -0.328791E+01
   755   0.236307E+04   0.139033E+02   0.210233E+02   0.302528E+06  -0.367763E+01
   756   0.235261E+04   0.141012E+02   0.228105E+02   0.301890E+06  -0.407760E+01
   757   0.234195E+04   0.143069E+02   0.245670E+02   0.301254E+06  -0.448758E+01
   758   0.233110E+04   0.145201E+02   0.262912E+02   0.300620E+06  -0.490734E+01
   759   0.232005E+04   0.147409E+02   0.279844E+02   0.299988E+06  -0.533663E+01
   760   0.230881E+04   0.149689E+02   0.296459E+02   0.299358E+06  -0.577521E+01
   761   0.229739E+04   0.152041E+02   0.312755E+02   0.298730E+06  -0.622283E+01
   762   0.228579E+04   0.154461E+02   0.328732E+02   0.298104E+06  -0.667927E+01
   763   0.227402E+04   0.156949E+02   0.344381E+02   0.297480E+06  -0.714428E+01
   764   0.226207E+04   0.159502E+02   0.359717E+02   0.296857E+06  -0.761762E+01
   765   0.224996E+04   0.162118E+02   0.374724E+02   0.296237E+06  -0.809905E+01
   766   0.223769E+04   0.164796E+02   0.389409E+02   0.295618E+06  -0.858833E+01
   767   0.222525E+04   0.167533E+02   0.403770E+02   0.295001E+06  -0.908522E+01
   768   0.221266E+04   0.170328E+02   0.417807E+02   0.294386E+06  -0.958948E+01
   769   0.219992E+04   0.173180E+02   0.431504E+02   0.293773E+06  -0.101009E+02
   770   0.218704E+04   0.176086E+02   0.444861E+02   0.293162E+06  -0.106191E+02
   771   0.217401E+04   0.179045E+02   0.457876E+02   0.292553E+06  -0.111441E+02
   772   0.216085E+04   0.182056E+02   0.470550E+02   0.291946E+06  -0.116754E+02
   773   0.214756E+04   0.185117E+02   0.482865E+02   0.291340E+06  -0.122129E+02
   774   0.213414E+04   0.188226E+02   0.494822E+02   0.290736E+06  -0.127563E+02
   775   0.212060E+04   0.191381E+02   0.506419E+02   0.290134E+06  -0.133054E+02
   776   0.210696E+04   0.194580E+02   0.517641E+02   0.289534E+06  -0.138600E+02
   777   0.209322E+04   0.197822E+02   0.528495E+02   0.288936E+06  -0.144198E+02
   778   0.207938E+04   0.201105E+02   0.538965E+02   0.288339E+06  -0.149845E+02
   779   0.206546E+04   0.204426E+02   0.549057E+02   0.287744E+06  -0.155540E+02
   780   0.205145E+04   0.207785E+02   0.558748E+02   0.287151E+06  -0.161279E+02
   781   0.203738E+04   0.211178E+02   0.568045E+02   0.286560E+06  -0.167061E+02
   782   0.202324E+04   0.214604E+02   0.576941E+02   0.285971E+06  -0.172883E+02
   783   0.200904E+04   0.218061E+02   0.585440E+02   0.285383E+06  -0.178743E+02
   784   0.199479E+04   0.221546E+02   0.593528E+02   0.284797E+06  -0.184638E+02
   785   0.198048E+04   0.225059E+02   0.601212E+02   0.284213E+06  -0.190566E+02
   786   0.196611E+04   0.228596E+02   0.608490E+02   0.283630E+06  -0.196524E+02
   787   0.195171E+04   0.232155E+02   0.615347E+02   0.283050E+06  -0.202510E+02
   788   0.193726E+04   0.235736E+02   0.621797E+02   0.282471E+06  -0.208522E+02
   789   0.192277E+04   0.239335E+02   0.627816E+02   0.281893E+06  -0.214557E+02
   790   0.190826E+04   0.242952E+02   0.633412E+02   0.281318E+06  -0.220613E+02
   791   0.189372E+04   0.246584E+02   0.638554E+02   0.280744E+06  -0.226687E+02
   792   0.187918E+04   0.250231E+02   0.643249E+02   0.280171E+06  -0.232778E+02
   793   0.186462E+04   0.253891E+02   0.647480E+02   0.279601E+06  -0.238882E+02
   794   0.185007E+04   0.257561E+02   0.651240E+02   0.279032E+06  -0.244997E+02
   795   0.183552E+04   0.261241E+02   0.654513E+02   0.278465E+06  -0.251121E+02
   796   0.182099E+04   0.264927E+02   0.657306E+02   0.277899E+06  -0.257252E+02
   797   0.180648E+04   0.268617E+02   0.659602E+02   0.277335E+06  -0.263386E+02
   798   0.179201E+04   0.272309E+02   0.661402E+02   0.276773E+06  -0.269523E+02
   799   0.177759E+04   0.276000E+02   0.662696E+02   0.276212E+06  -0.275658E+02
   800   0.176321E+04   0.279688E+02   0.663492E+02   0.275653E+06  -0.281790E+02
   801   0.174889E+04   0.283370E+02   0.663769E+02   0.275096E+06  -0.287917E+02
   802   0.173464E+04   0.287044E+02   0.663547E+02   0.274540E+06  -0.294038E+02
   803   0.172044E+04   0.290711E+02   0.662831E+02   0.273986E+06  -0.300153E+02
   804   0.170631E+04   0.294367E+02   0.661623E+02   0.273433E+06  -0.306262E+02
   805   0.169224E+04   0.298015E+02   0.659944E+02   0.272882E+06  -0.312364E+02
   806   0.167823E+04   0.301651E+02   0.657786E+02   0.272333E+06  -0.318460E+02
   807   0.166427E+04   0.305276E+02   0.655179E+02   0.271785E+06  -0.324548E+02
   808   0.165037E+04   0.308888E+02   0.652107E+02   0.271239E+06  -0.330629E+02
   809   0.163652E+04   0.312486E+02   0.648593E+02   0.270694E+06  -0.336703E+02
   810   0.162274E+04   0.316069E+02   0.644643E+02   0.270151E+06  -0.342769E+02
   811   0.160901E+04   0.319636E+02   0.640256E+02   0.269610E+06  -0.348827E+02
   812   0.159537E+04   0.323184E+02   0.635439E+02   0.269070E+06  -0.354877E+02
   813   0.158181E+04   0.326711E+02   0.630198E+02   0.268531E+06  -0.360918E+02
   814   0.156834E+04   0.330218E+02   0.624537E+02   0.267994E+06  -0.366951E+02
   815   0.155496E+04   0.333700E+02   0.618463E+02   0.267459E+06  -0.372974E+02
   816   0.154169E+04   0.337157E+02   0.611981E+02   0.266925E+06  -0.378989E+02
   817   0.152851E+04   0.340589E+02   0.605101E+02   0.266393E+06  -0.384994E+02
   818   0.151544E+04   0.343992E+02   0.597834E+02   0.265862E+06  -0.390989E+02
   819   0.150247E+04   0.347365E+02   0.590192E+02   0.265333E+06  -0.396975E+02
   820   0.148959E+04   0.350709E+02   0.582183E+02   0.264805E+06  -0.402950E+02
   821   0.147681E+04   0.354020E+02   0.573818E+02   0.264279E+06  -0.408915E+02
   822   0.146411E+04   0.357298E+02   0.565110E+02   0.263755E+06  -0.414870E+02
   823   0.145151E+04   0.360541E+02   0.556068E+02   0.263231E+06  -0.420813E+02
   824   0.143901E+04   0.363747E+02   0.546695E+02   0.262710E+06  -0.426746E+02
   825   0.142662E+04   0.366915E+02   0.536994E+02   0.262190E+06  -0.432667E+02
   826   0.141434E+04   0.370042E+02   0.526968E+02   0.261671E+06  -0.438577E+02
   827   0.140220E+04   0.373127E+02   0.516620E+02   0.261154E+06  -0.444475E+02
   828   0.139018E+04   0.376168E+02   0.505953E+02   0.260638E+06  -0.450360E+02
   829   0.137831E+04   0.379163E+02   0.494970E+02   0.260124E+06  -0.456234E+02
   830   0.136659E+04   0.382110E+02   0.483675E+02   0.259611E+06  -0.462095E+02
   831   0.135503E+04   0.385008E+02   0.472078E+02   0.259099E+06  -0.467943E+02
   832   0.134362E+04   0.387853E+02   0.460188E+02   0.258589E+06  -0.473779E+02
   833   0.133236E+04   0.390646E+02   0.448019E+02   0.258081E+06  -0.479601E+02
   834   0.132126E+04   0.393383E+02   0.435581E+02   0.257574E+06  -0.485409E+02
   835   0.131030E+04   0.396064E+02   0.422883E+02   0.257068E+06  -0.491204E+02
   836   0.129949E+04   0.398686E+02   0.409939E+02   0.256564E+06  -0.496985E+02
   837   0.128883E+04   0.401248E+02   0.396757E+02   0.256061E+06  -0.502752E+02
   838   0.127834E+04   0.403748E+02   0.383343E+02   0.255560E+06  -0.508505E+02
   839   0.126800E+04   0.406182E+02   0.369702E+02   0.255060E+06  -0.514242E+02
   840   0.125784E+04   0.408549E+02   0.355838E+02   0.254562E+06  -0.519965E+02
   841   0.124787E+04   0.410846E+02   0.341756E+02   0.254064E+06  -0.525673E+02
   842   0.123810E+04   0.413070E+02   0.327460E+02   0.253569E+06  -0.531365E+02
   843   0.122852E+04   0.415219E+02   0.312955E+02   0.253074E+06  -0.537042E+02
   844   0.121916E+04   0.417291E+02   0.298246E+02   0.252581E+06  -0.542703E+02
   845   0.121001E+04   0.419283E+02   0.283343E+02   0.252090E+06  -0.548347E+02
   846   0.120109E+04   0.421195E+02   0.268251E+02   0.251600E+06  -0.553976E+02
   847   0.119237E+04   0.423023E+02   0.252982E+02   0.251111E+06  -0.559588E+02
   848   0.118388E+04   0.424766E+02   0.237544E+02   0.250623E+06  -0.565183E+02
   849   0.117561E+04   0.426423E+02   0.221945E+02   0.250137E+06  -0.570761E+02
   850   0.116755E+04   0.427991E+02   0.206194E+02   0.249653E+06  -0.576322E+02
   851   0.115972E+04   0.429469E+02   0.190301E+02   0.249169E+06  -0.581865E+02
   852   0.115211E+04   0.430857E+02   0.174273E+02   0.248687E+06  -0.587389E+02
   853   0.114473E+04   0.432155E+02   0.158118E+02   0.248207E+06  -0.592894E+02
   854   0.113756E+04   0.433363E+02   0.141846E+02   0.247727E+06  -0.598377E+02
   855   0.113063E+04   0.434482E+02   0.125463E+02   0.247249E+06  -0.603839E+02
   856   0.112391E+04   0.435513E+02   0.108979E+02   0.246772E+06  -0.609277E+02
   857   0.111743E+04   0.436454E+02   0.924014E+01   0.246297E+06  -0.614690E+02
   858   0.111118E+04   0.437309E+02   0.757379E+01   0.245823E+06  -0.620078E+02
   859   0.110514E+04   0.438076E+02   0.589936E+01   0.245350E+06  -0.625440E+02
   860   0.109933E+04   0.438758E+02   0.421735E+01   0.244879E+06  -0.630773E+02
   861   0.109373E+04   0.439355E+02   0.252820E+01   0.244409E+06  -0.636078E+02
   862   0.108835E+04   0.439869E+02   0.832363E+00   0.243940E+06  -0.641352E+02
   863   0.108318E+04   0.440301E+02  -0.869660E+00   0.243473E+06  -0.646595E+02
   864   0.107821E+04   0.440652E+02  -0.257750E+01   0.243006E+06  -0.651805E+02
   865   0.107345E+04   0.440924E+02  -0.429050E+01   0.242541E+06  -0.656981E+02
   866   0.106889E+04   0.441116E+02  -0.600770E+01   0.242078E+06  -0.662123E+02
   867   0.106453E+04   0.441230E+02  -0.772776E+01   0.241615E+06  -0.667229E+02
   868   0.106035E+04   0.441265E+02  -0.944974E+01   0.241154E+06  -0.672298E+02
   869   0.105638E+04   0.441222E+02  -0.111723E+02   0.240695E+06  -0.677328E+02
   870   0.105258E+04   0.441102E+02  -0.128944E+02   0.240236E+06  -0.682319E+02
   871   0.104897E+04   0.440905E+02  -0.146148E+02   0.239779E+06  -0.687269E+02
   872   0.104555E+04   0.440631E+02  -0.163323E+02   0.239323E+06  -0.692178E+02
   873   0.104230E+04   0.440280E+02  -0.180463E+02   0.238868E+06  -0.697043E+02
   874   0.103923E+04   0.439853E+02  -0.197559E+02   0.238415E+06  -0.701865E+02
   875   0.103635E+04   0.439351E+02  -0.214604E+02   0.237963E+06  -0.706641E+02
   876   0.103365E+04   0.438772E+02  -0.231589E+02   0.237512E+06  -0.711371E+02
   877   0.103112E+04   0.438118E+02  -0.248508E+02   0.237062E+06  -0.716054E+02
   878   0.102879E+04   0.437388E+02  -0.265352E+02   0.236613E+06  -0.720688E+02
   879   0.102663E+04   0.436584E+02  -0.282114E+02   0.236166E+06  -0.725272E+02
   880   0.102466E+04   0.435705E+02  -0.298785E+02   0.235720E+06  -0.729805E+02
   881   0.102286E+04   0.434751E+02  -0.315357E+02   0.235276E+06  -0.734285E+02
   882   0.102124E+04   0.433725E+02  -0.331821E+02   0.234832E+06  -0.738713E+02
   883   0.101979E+04   0.432625E+02  -0.348171E+02   0.234390E+06  -0.743086E+02
   884   0.101850E+04   0.431453E+02  -0.364395E+02   0.233949E+06  -0.747404E+02
   885   0.101738E+04   0.430210E+02  -0.380488E+02   0.233509E+06  -0.751664E+02
   886   0.101642E+04   0.428895E+02  -0.396439E+02   0.233070E+06  -0.755867E+02
   887   0.101562E+04   0.427509E+02  -0.412237E+02   0.232633E+06  -0.760011E+02
   888   0.101498E+04   0.426053E+02  -0.427868E+02   0.232196E+06  -0.764095E+02
   889   0.101449E+04   0.424525E+02  -0.443320E+02   0.231761E+06  -0.768117E+02
   890   0.101417E+04   0.422927E+02  -0.458580E+02   0.231328E+06  -0.772077E+02
   891   0.101399E+04   0.421259E+02  -0.473635E+02   0.230895E+06  -0.775973E+02
   892   0.101397E+04   0.419521E+02  -0.488473E+02   0.230463E+06  -0.779804E+02
   893   0.101410E+04   0.417713E+02  -0.503081E+02   0.230033E+06  -0.783569E+02
   894   0.101439E+04   0.415834E+02  -0.517447E+02   0.229604E+06  -0.787267E+02
   895   0.101481E+04   0.413886E+02  -0.531560E+02   0.229176E+06  -0.790897E+02
   896   0.101539E+04   0.411867E+02  -0.545406E+02   0.228749E+06  -0.794457E+02
   897   0.101612E+04   0.409778E+02  -0.558974E+02   0.228324E+06  -0.797947E+02
   898   0.101699E+04   0.407618E+02  -0.572253E+02   0.227899E+06  -0.801365E+02
   899   0.101801E+04   0.405388E+02  -0.585230E+02   0.227476E+06  -0.804710E+02
   900   0.101917E+04   0.403088E+02  -0.597894E+02   0.227054E+06  -0.807981E+02
   901   0.102047E+04   0.400716E+02  -0.610235E+02   0.226633E+06  -0.811177E+02
   902   0.102191E+04   0.398277E+02  -0.622253E+02   0.226213E+06  -0.814298E+02
   903   0.102350E+04   0.395771E+02  -0.633952E+02   0.225794E+06  -0.817344E+02
   904   0.102521E+04   0.393201E+02  -0.645334E+02   0.225377E+06  -0.820315E+02
   905   0.102706E+04   0.390567E+02  -0.656402E+02   0.224960E+06  -0.823212E+02
   906   0.102903E+04   0.387874E+02  -0.667158E+02   0.224545E+06  -0.826035E+02
   907   0.103113E+04   0.385122E+02  -0.677607E+02   0.224131E+06  -0.828784E+02
   908   0.103335E+04   0.382312E+02  -0.687748E+02   0.223718E+06  -0.831458E+02
   909   0.103569E+04   0.379449E+02  -0.697584E+02   0.223306E+06  -0.834059E+02
   910   0.103814E+04   0.376533E+02  -0.707116E+02   0.222895E+06  -0.836586E+02
   911   0.104070E+04   0.373566E+02  -0.716344E+02   0.222486E+06  -0.839040E+02
   912   0.104337E+04   0.370551E+02  -0.725269E+02   0.222077E+06  -0.841421E+02
   913   0.104614E+04   0.367489E+02  -0.733894E+02   0.221670E+06  -0.843728E+02
   914   0.104900E+04   0.364382E+02  -0.742219E+02   0.221263E+06  -0.845963E+02
   915   0.105196E+04   0.361233E+02  -0.750244E+02   0.220858E+06  -0.848125E+02
   916   0.105501E+04   0.358044E+02  -0.757971E+02   0.220454E+06  -0.850214E+02
   917   0.105815E+04   0.354814E+02  -0.765400E+02   0.220051E+06  -0.852232E+02
   918   0.106135E+04   0.351548E+02  -0.772531E+02   0.219649E+06  -0.854177E+02
   919   0.106464E+04   0.348247E+02  -0.779366E+02   0.219248E+06  -0.856050E+02
   920   0.106801E+04   0.344912E+02  -0.785904E+02   0.218849E+06  -0.857851E+02
   921   0.107143E+04   0.341545E+02  -0.792146E+02   0.218450E+06  -0.859581E+02
   922   0.107493E+04   0.338148E+02  -0.798090E+02   0.218053E+06  -0.861239E+02
   923   0.107849E+04   0.334724E+02  -0.803736E+02   0.217656E+06  -0.862826E+02
   924   0.108209E+04   0.331275E+02  -0.809081E+02   0.217261E+06  -0.864342E+02
   925   0.108576E+04   0.327801E+02  -0.814124E+02   0.216866E+06  -0.865787E+02
   926   0.108947E+04   0.324305E+02  -0.818864E+02   0.216473E+06  -0.867162E+02
   927   0.109323E+04   0.320790E+02  -0.823299E+02   0.216081E+06  -0.868466E+02
   928   0.109703E+04   0.317257E+02  -0.827427E+02   0.215690E+06  -0.869699E+02
   929   0.110087E+04   0.313708E+02  -0.831247E+02   0.215300E+06  -0.870863E+02
   930   0.110475E+04   0.310145E+02  -0.834759E+02   0.214911E+06  -0.871956E+02
