#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.274448E+00   0.641506E+06   0.638209E+06  -0.523517E+00  -0.528184E+00   0.144225E+05   0.638164E+06   0.640988E+06   0.638164E+06  -0.152451E-01   0.391710E+06   0.391655E+06   0.664843E-01
   0.279842E+00   0.621653E+06   0.618338E+06  -0.487938E+00  -0.492288E+00   0.135135E+05   0.618394E+06   0.621132E+06   0.618394E+06  -0.147728E-01   0.379576E+06   0.379521E+06   0.653459E-01
   0.285235E+00   0.602592E+06   0.599265E+06  -0.455248E+00  -0.459307E+00   0.126725E+05   0.599413E+06   0.602069E+06   0.599413E+06  -0.143193E-01   0.367926E+06   0.367871E+06   0.640125E-01
   0.290629E+00   0.584800E+06   0.581493E+06  -0.425554E+00  -0.429348E+00   0.119042E+05   0.581700E+06   0.584280E+06   0.581700E+06  -0.138962E-01   0.357055E+06   0.357001E+06   0.621429E-01
   0.296022E+00   0.568591E+06   0.565347E+06  -0.398817E+00  -0.402373E+00   0.112092E+05   0.565571E+06   0.568081E+06   0.565571E+06  -0.135109E-01   0.347155E+06   0.347102E+06   0.596364E-01
   0.301416E+00   0.553988E+06   0.550848E+06  -0.374796E+00  -0.378137E+00   0.105822E+05   0.551048E+06   0.553495E+06   0.551048E+06  -0.131640E-01   0.338241E+06   0.338190E+06   0.566055E-01
   0.306810E+00   0.540726E+06   0.537717E+06  -0.353081E+00  -0.356229E+00   0.100131E+05   0.537864E+06   0.540254E+06   0.537864E+06  -0.128490E-01   0.330149E+06   0.330100E+06   0.533027E-01
   0.312203E+00   0.528397E+06   0.525528E+06  -0.333219E+00  -0.336190E+00   0.949001E+04   0.525609E+06   0.527946E+06   0.525609E+06  -0.125563E-01   0.322627E+06   0.322580E+06   0.500316E-01
   0.317597E+00   0.516598E+06   0.513862E+06  -0.314814E+00  -0.317621E+00   0.900265E+04   0.513882E+06   0.516168E+06   0.513882E+06  -0.122761E-01   0.315429E+06   0.315384E+06   0.470620E-01
   0.322991E+00   0.505008E+06   0.502382E+06  -0.297564E+00  -0.300217E+00   0.854307E+04   0.502360E+06   0.504596E+06   0.502360E+06  -0.120008E-01   0.308357E+06   0.308314E+06   0.445690E-01
   0.328384E+00   0.493405E+06   0.490859E+06  -0.281258E+00  -0.283765E+00   0.810579E+04   0.490819E+06   0.493005E+06   0.490819E+06  -0.117252E-01   0.301273E+06   0.301231E+06   0.426057E-01
   0.333778E+00   0.481699E+06   0.479205E+06  -0.265783E+00  -0.268152E+00   0.768805E+04   0.479173E+06   0.481307E+06   0.479173E+06  -0.114469E-01   0.294125E+06   0.294084E+06   0.411123E-01
   0.339172E+00   0.469959E+06   0.467496E+06  -0.251122E+00  -0.253361E+00   0.728986E+04   0.467489E+06   0.469572E+06   0.467489E+06  -0.111678E-01   0.286953E+06   0.286913E+06   0.399509E-01
   0.344565E+00   0.458376E+06   0.455933E+06  -0.237322E+00  -0.239438E+00   0.691295E+04   0.455959E+06   0.457992E+06   0.455959E+06  -0.108924E-01   0.279877E+06   0.279836E+06   0.389528E-01
   0.349959E+00   0.447174E+06   0.444750E+06  -0.224439E+00  -0.226439E+00   0.655936E+04   0.444809E+06   0.446793E+06   0.444809E+06  -0.106260E-01   0.273033E+06   0.272993E+06   0.379628E-01
   0.355353E+00   0.436521E+06   0.434125E+06  -0.212490E+00  -0.214384E+00   0.623009E+04   0.434207E+06   0.436145E+06   0.434207E+06  -0.103727E-01   0.266526E+06   0.266486E+06   0.368716E-01
   0.360746E+00   0.426501E+06   0.424147E+06  -0.201450E+00  -0.203246E+00   0.592471E+04   0.424237E+06   0.426131E+06   0.424237E+06  -0.101346E-01   0.260406E+06   0.260368E+06   0.356319E-01
   0.366140E+00   0.417122E+06   0.414822E+06  -0.191259E+00  -0.192964E+00   0.564182E+04   0.414908E+06   0.416760E+06   0.414908E+06  -0.991170E-02   0.254680E+06   0.254642E+06   0.342576E-01
   0.371534E+00   0.408332E+06   0.406097E+06  -0.181834E+00  -0.183455E+00   0.537931E+04   0.406167E+06   0.407981E+06   0.406167E+06  -0.970289E-02   0.249314E+06   0.249278E+06   0.328080E-01
   0.376927E+00   0.400027E+06   0.397861E+06  -0.173076E+00  -0.174618E+00   0.513452E+04   0.397909E+06   0.399687E+06   0.397909E+06  -0.950562E-02   0.244246E+06   0.244210E+06   0.313634E-01
   0.382321E+00   0.392062E+06   0.389963E+06  -0.164879E+00  -0.166349E+00   0.490456E+04   0.389989E+06   0.391733E+06   0.389989E+06  -0.931643E-02   0.239385E+06   0.239350E+06   0.300012E-01
   0.387714E+00   0.384296E+06   0.382257E+06  -0.157149E+00  -0.158550E+00   0.468682E+04   0.382266E+06   0.383975E+06   0.382266E+06  -0.913193E-02   0.234644E+06   0.234611E+06   0.287768E-01
   0.393108E+00   0.376630E+06   0.374642E+06  -0.149818E+00  -0.151153E+00   0.447943E+04   0.374642E+06   0.376318E+06   0.374642E+06  -0.894980E-02   0.229964E+06   0.229932E+06   0.277144E-01
   0.398502E+00   0.369032E+06   0.367084E+06  -0.142849E+00  -0.144122E+00   0.428146E+04   0.367083E+06   0.368726E+06   0.367083E+06  -0.876923E-02   0.225325E+06   0.225293E+06   0.268068E-01
   0.403895E+00   0.361518E+06   0.359601E+06  -0.136227E+00  -0.137442E+00   0.409261E+04   0.359607E+06   0.361217E+06   0.359607E+06  -0.859063E-02   0.220736E+06   0.220704E+06   0.260221E-01
   0.409289E+00   0.354134E+06   0.352244E+06  -0.129951E+00  -0.131109E+00   0.391291E+04   0.352260E+06   0.353837E+06   0.352260E+06  -0.841511E-02   0.216226E+06   0.216195E+06   0.253148E-01
   0.414683E+00   0.346936E+06   0.345071E+06  -0.124019E+00  -0.125124E+00   0.374250E+04   0.345098E+06   0.346643E+06   0.345098E+06  -0.824402E-02   0.211830E+06   0.211799E+06   0.246390E-01
   0.420076E+00   0.339979E+06   0.338140E+06  -0.118431E+00  -0.119486E+00   0.358145E+04   0.338176E+06   0.339691E+06   0.338176E+06  -0.807866E-02   0.207581E+06   0.207551E+06   0.239588E-01
   0.425470E+00   0.333307E+06   0.331497E+06  -0.113181E+00  -0.114190E+00   0.342972E+04   0.331538E+06   0.333023E+06   0.331538E+06  -0.792008E-02   0.203507E+06   0.203477E+06   0.232545E-01
   0.430864E+00   0.326940E+06   0.325163E+06  -0.108257E+00  -0.109222E+00   0.328700E+04   0.325203E+06   0.326661E+06   0.325203E+06  -0.776877E-02   0.199619E+06   0.199590E+06   0.225237E-01
   0.436257E+00   0.320862E+06   0.319123E+06  -0.103634E+00  -0.104558E+00   0.315266E+04   0.319158E+06   0.320589E+06   0.319158E+06  -0.762436E-02   0.195908E+06   0.195880E+06   0.217780E-01
   0.441651E+00   0.315032E+06   0.313331E+06  -0.992815E-01  -0.100166E+00   0.302583E+04   0.313360E+06   0.314765E+06   0.313360E+06  -0.748584E-02   0.192349E+06   0.192321E+06   0.210371E-01
   0.447045E+00   0.309398E+06   0.307736E+06  -0.951678E-01  -0.960162E-01   0.290564E+04   0.307757E+06   0.309137E+06   0.307757E+06  -0.735199E-02   0.188910E+06   0.188883E+06   0.203224E-01
   0.452438E+00   0.303921E+06   0.302295E+06  -0.912679E-01  -0.920814E-01   0.279138E+04   0.302309E+06   0.303666E+06   0.302309E+06  -0.722186E-02   0.185566E+06   0.185540E+06   0.196519E-01
   0.457832E+00   0.298569E+06   0.296976E+06  -0.875608E-01  -0.883413E-01   0.268247E+04   0.296986E+06   0.298319E+06   0.296986E+06  -0.709468E-02   0.182299E+06   0.182273E+06   0.190355E-01
   0.463226E+00   0.293315E+06   0.291752E+06  -0.840288E-01  -0.847778E-01   0.257841E+04   0.291760E+06   0.293070E+06   0.291760E+06  -0.696985E-02   0.179091E+06   0.179066E+06   0.184740E-01
   0.468619E+00   0.288147E+06   0.286610E+06  -0.806589E-01  -0.813779E-01   0.247885E+04   0.286619E+06   0.287905E+06   0.286619E+06  -0.684702E-02   0.175935E+06   0.175910E+06   0.179607E-01
   0.474013E+00   0.283071E+06   0.281557E+06  -0.774451E-01  -0.781354E-01   0.238367E+04   0.281569E+06   0.282833E+06   0.281569E+06  -0.672640E-02   0.172836E+06   0.172811E+06   0.174838E-01
   0.479407E+00   0.278113E+06   0.276621E+06  -0.743860E-01  -0.750490E-01   0.229283E+04   0.276636E+06   0.277878E+06   0.276636E+06  -0.660855E-02   0.169808E+06   0.169783E+06   0.170303E-01
   0.484800E+00   0.273293E+06   0.271823E+06  -0.714793E-01  -0.721165E-01   0.220633E+04   0.271841E+06   0.273062E+06   0.271841E+06  -0.649400E-02   0.166864E+06   0.166840E+06   0.165885E-01
   0.490194E+00   0.268621E+06   0.267173E+06  -0.687197E-01  -0.693323E-01   0.212402E+04   0.267193E+06   0.268393E+06   0.267193E+06  -0.638296E-02   0.164011E+06   0.163988E+06   0.161506E-01
   0.495587E+00   0.264098E+06   0.262673E+06  -0.661000E-01  -0.666892E-01   0.204572E+04   0.262694E+06   0.263874E+06   0.262694E+06  -0.627548E-02   0.161250E+06   0.161226E+06   0.157132E-01
   0.500981E+00   0.259723E+06   0.258322E+06  -0.636129E-01  -0.641800E-01   0.197123E+04   0.258342E+06   0.259503E+06   0.258342E+06  -0.617152E-02   0.158579E+06   0.158556E+06   0.152776E-01
   0.506375E+00   0.255490E+06   0.254115E+06  -0.612505E-01  -0.617964E-01   0.190034E+04   0.254132E+06   0.255274E+06   0.254132E+06  -0.607095E-02   0.155994E+06   0.155972E+06   0.148481E-01
   0.511768E+00   0.251386E+06   0.250035E+06  -0.590031E-01  -0.595291E-01   0.183277E+04   0.250050E+06   0.251174E+06   0.250050E+06  -0.597344E-02   0.153489E+06   0.153467E+06   0.144304E-01
   0.517162E+00   0.247391E+06   0.246064E+06  -0.568607E-01  -0.573675E-01   0.176823E+04   0.246077E+06   0.247183E+06   0.246077E+06  -0.587851E-02   0.151050E+06   0.151028E+06   0.140296E-01
   0.522556E+00   0.243486E+06   0.242182E+06  -0.548140E-01  -0.553026E-01   0.170646E+04   0.242193E+06   0.243282E+06   0.242193E+06  -0.578573E-02   0.148666E+06   0.148644E+06   0.136492E-01
   0.527949E+00   0.239662E+06   0.238380E+06  -0.528564E-01  -0.533276E-01   0.164726E+04   0.238389E+06   0.239461E+06   0.238389E+06  -0.569486E-02   0.146331E+06   0.146310E+06   0.132903E-01
   0.533343E+00   0.235916E+06   0.234654E+06  -0.509833E-01  -0.514378E-01   0.159051E+04   0.234663E+06   0.235718E+06   0.234663E+06  -0.560585E-02   0.144044E+06   0.144023E+06   0.129520E-01
   0.538737E+00   0.232249E+06   0.231005E+06  -0.491907E-01  -0.496292E-01   0.153610E+04   0.231014E+06   0.232053E+06   0.231014E+06  -0.551869E-02   0.141804E+06   0.141784E+06   0.126314E-01
   0.544130E+00   0.228659E+06   0.227433E+06  -0.474751E-01  -0.478983E-01   0.148393E+04   0.227443E+06   0.228466E+06   0.227443E+06  -0.543338E-02   0.139612E+06   0.139592E+06   0.123248E-01
   0.549524E+00   0.225150E+06   0.223941E+06  -0.458333E-01  -0.462419E-01   0.143394E+04   0.223952E+06   0.224960E+06   0.223952E+06  -0.534999E-02   0.137469E+06   0.137450E+06   0.120284E-01
   0.554918E+00   0.221726E+06   0.220535E+06  -0.442632E-01  -0.446577E-01   0.138604E+04   0.220546E+06   0.221539E+06   0.220546E+06  -0.526862E-02   0.135379E+06   0.135359E+06   0.117394E-01
   0.560311E+00   0.218393E+06   0.217219E+06  -0.427625E-01  -0.431437E-01   0.134019E+04   0.217231E+06   0.218208E+06   0.217231E+06  -0.518942E-02   0.133344E+06   0.133324E+06   0.114560E-01
   0.565705E+00   0.215150E+06   0.213993E+06  -0.413280E-01  -0.416964E-01   0.129631E+04   0.214005E+06   0.214968E+06   0.214005E+06  -0.511235E-02   0.131363E+06   0.131344E+06   0.111778E-01
   0.571099E+00   0.211991E+06   0.210851E+06  -0.399557E-01  -0.403118E-01   0.125426E+04   0.210863E+06   0.211812E+06   0.210863E+06  -0.503729E-02   0.129435E+06   0.129416E+06   0.109054E-01
   0.576492E+00   0.208909E+06   0.207787E+06  -0.386416E-01  -0.389860E-01   0.121394E+04   0.207797E+06   0.208733E+06   0.207797E+06  -0.496406E-02   0.127553E+06   0.127535E+06   0.106397E-01
   0.581886E+00   0.205900E+06   0.204795E+06  -0.373824E-01  -0.377156E-01   0.117525E+04   0.204805E+06   0.205727E+06   0.204805E+06  -0.489257E-02   0.125716E+06   0.125698E+06   0.103824E-01
   0.587279E+00   0.202961E+06   0.201873E+06  -0.361751E-01  -0.364975E-01   0.113811E+04   0.201881E+06   0.202790E+06   0.201881E+06  -0.482274E-02   0.123922E+06   0.123904E+06   0.101343E-01
   0.592673E+00   0.200087E+06   0.199014E+06  -0.350166E-01  -0.353287E-01   0.110242E+04   0.199022E+06   0.199918E+06   0.199022E+06  -0.475442E-02   0.122167E+06   0.122149E+06   0.989615E-02
   0.598067E+00   0.197270E+06   0.196212E+06  -0.339037E-01  -0.342059E-01   0.106809E+04   0.196220E+06   0.197104E+06   0.196220E+06  -0.468749E-02   0.120447E+06   0.120429E+06   0.966771E-02
   0.603460E+00   0.194508E+06   0.193465E+06  -0.328342E-01  -0.331268E-01   0.103506E+04   0.193473E+06   0.194344E+06   0.193473E+06  -0.462186E-02   0.118760E+06   0.118743E+06   0.944831E-02
   0.608854E+00   0.191802E+06   0.190773E+06  -0.318063E-01  -0.320898E-01   0.100328E+04   0.190781E+06   0.191640E+06   0.190781E+06  -0.455756E-02   0.117108E+06   0.117091E+06   0.923698E-02
   0.614248E+00   0.189154E+06   0.188139E+06  -0.308188E-01  -0.310935E-01   0.972703E+03   0.188147E+06   0.188995E+06   0.188147E+06  -0.449464E-02   0.115491E+06   0.115475E+06   0.903261E-02
   0.619641E+00   0.186564E+06   0.185563E+06  -0.298700E-01  -0.301362E-01   0.943298E+03   0.185571E+06   0.186407E+06   0.185571E+06  -0.443310E-02   0.113910E+06   0.113894E+06   0.883414E-02
   0.625035E+00   0.184030E+06   0.183043E+06  -0.289580E-01  -0.292161E-01   0.915002E+03   0.183051E+06   0.183875E+06   0.183051E+06  -0.437289E-02   0.112363E+06   0.112347E+06   0.864074E-02
   0.630429E+00   0.181551E+06   0.180577E+06  -0.280812E-01  -0.283315E-01   0.887767E+03   0.180585E+06   0.181398E+06   0.180585E+06  -0.431398E-02   0.110849E+06   0.110833E+06   0.845196E-02
   0.635822E+00   0.179128E+06   0.178166E+06  -0.272383E-01  -0.274811E-01   0.861561E+03   0.178174E+06   0.178977E+06   0.178174E+06  -0.425639E-02   0.109370E+06   0.109354E+06   0.826772E-02
   0.641216E+00   0.176759E+06   0.175810E+06  -0.264278E-01  -0.266634E-01   0.836337E+03   0.175818E+06   0.176610E+06   0.175818E+06  -0.420010E-02   0.107923E+06   0.107908E+06   0.808817E-02
   0.646610E+00   0.174442E+06   0.173506E+06  -0.256481E-01  -0.258767E-01   0.812046E+03   0.173513E+06   0.174295E+06   0.173513E+06  -0.414504E-02   0.106508E+06   0.106493E+06   0.791353E-02
   0.652003E+00   0.172172E+06   0.171248E+06  -0.248972E-01  -0.251191E-01   0.788634E+03   0.171255E+06   0.172027E+06   0.171255E+06  -0.409110E-02   0.105122E+06   0.105107E+06   0.774399E-02
   0.657397E+00   0.169946E+06   0.169035E+06  -0.241738E-01  -0.243893E-01   0.766056E+03   0.169041E+06   0.169803E+06   0.169041E+06  -0.403821E-02   0.103764E+06   0.103749E+06   0.757970E-02
   0.662791E+00   0.167765E+06   0.166865E+06  -0.234768E-01  -0.236860E-01   0.744281E+03   0.166872E+06   0.167624E+06   0.166872E+06  -0.398639E-02   0.102432E+06   0.102417E+06   0.742068E-02
   0.668184E+00   0.165628E+06   0.164740E+06  -0.228050E-01  -0.230083E-01   0.723280E+03   0.164746E+06   0.165488E+06   0.164746E+06  -0.393560E-02   0.101127E+06   0.101112E+06   0.726679E-02
   0.673578E+00   0.163532E+06   0.162655E+06  -0.221573E-01  -0.223548E-01   0.703011E+03   0.162661E+06   0.163394E+06   0.162661E+06  -0.388580E-02   0.998472E+05   0.998328E+05   0.711769E-02
   0.678971E+00   0.161475E+06   0.160609E+06  -0.215324E-01  -0.217244E-01   0.683443E+03   0.160615E+06   0.161339E+06   0.160615E+06  -0.383693E-02   0.985915E+05   0.985773E+05   0.697300E-02
   0.684365E+00   0.159458E+06   0.158603E+06  -0.209296E-01  -0.211161E-01   0.664549E+03   0.158608E+06   0.159324E+06   0.158608E+06  -0.378899E-02   0.973597E+05   0.973457E+05   0.683233E-02
   0.689759E+00   0.157481E+06   0.156636E+06  -0.203480E-01  -0.205294E-01   0.646308E+03   0.156642E+06   0.157348E+06   0.156642E+06  -0.374200E-02   0.961524E+05   0.961386E+05   0.669541E-02
   0.695152E+00   0.155543E+06   0.154709E+06  -0.197871E-01  -0.199635E-01   0.628702E+03   0.154715E+06   0.155412E+06   0.154715E+06  -0.369597E-02   0.949696E+05   0.949560E+05   0.656198E-02
   0.700546E+00   0.153645E+06   0.152820E+06  -0.192457E-01  -0.194173E-01   0.611698E+03   0.152826E+06   0.153515E+06   0.152826E+06  -0.365085E-02   0.938102E+05   0.937967E+05   0.643187E-02
   0.705940E+00   0.151782E+06   0.150968E+06  -0.187230E-01  -0.188899E-01   0.595266E+03   0.150973E+06   0.151654E+06   0.150973E+06  -0.360659E-02   0.926729E+05   0.926595E+05   0.630498E-02
   0.711333E+00   0.149954E+06   0.149150E+06  -0.182181E-01  -0.183805E-01   0.579388E+03   0.149155E+06   0.149828E+06   0.149155E+06  -0.356316E-02   0.915571E+05   0.915439E+05   0.618129E-02
   0.716727E+00   0.148162E+06   0.147368E+06  -0.177305E-01  -0.178886E-01   0.564041E+03   0.147373E+06   0.148038E+06   0.147373E+06  -0.352058E-02   0.904630E+05   0.904500E+05   0.606084E-02
   0.775236E+00   0.130706E+06   0.130005E+06  -0.133697E-01  -0.134888E-01   0.426349E+03   0.130009E+06   0.130596E+06   0.130009E+06  -0.310579E-02   0.798047E+05   0.797932E+05   0.494197E-02
   0.838521E+00   0.115218E+06   0.114600E+06  -0.100737E-01  -0.101635E-01   0.321752E+03   0.114604E+06   0.115121E+06   0.114604E+06  -0.273776E-02   0.703482E+05   0.703381E+05   0.402636E-02
   0.906972E+00   0.101491E+06   0.100947E+06  -0.758463E-02  -0.765223E-02   0.242474E+03   0.100949E+06   0.101405E+06   0.100949E+06  -0.241158E-02   0.619668E+05   0.619579E+05   0.327805E-02
   0.981012E+00   0.893371E+05   0.888582E+05  -0.570663E-02  -0.575750E-02   0.182510E+03   0.888604E+05   0.892619E+05   0.888604E+05  -0.212278E-02   0.545461E+05   0.545382E+05   0.266698E-02
   0.106109E+01   0.785860E+05   0.781648E+05  -0.429076E-02  -0.432900E-02   0.137232E+03   0.781665E+05   0.785198E+05   0.781665E+05  -0.186732E-02   0.479818E+05   0.479749E+05   0.216836E-02
   0.114772E+01   0.690830E+05   0.687127E+05  -0.322404E-02  -0.325278E-02   0.103094E+03   0.687142E+05   0.690248E+05   0.687142E+05  -0.164151E-02   0.421796E+05   0.421735E+05   0.176178E-02
   0.124141E+01   0.606914E+05   0.603662E+05  -0.242101E-02  -0.244259E-02   0.773889E+02   0.603673E+05   0.606403E+05   0.603673E+05  -0.144211E-02   0.370560E+05   0.370506E+05   0.143053E-02
   0.134275E+01   0.532870E+05   0.530015E+05  -0.181690E-02  -0.183310E-02   0.580543E+02   0.530025E+05   0.532422E+05   0.530025E+05  -0.126617E-02   0.325351E+05   0.325304E+05   0.116083E-02
   0.145236E+01   0.467585E+05   0.465080E+05  -0.136273E-02  -0.137488E-02   0.435245E+02   0.465088E+05   0.467191E+05   0.465088E+05  -0.111105E-02   0.285490E+05   0.285449E+05   0.941407E-03
   0.157092E+01   0.410069E+05   0.407872E+05  -0.102152E-02  -0.103063E-02   0.326138E+02   0.407879E+05   0.409724E+05   0.407879E+05  -0.974380E-03   0.250373E+05   0.250337E+05   0.763006E-03
   0.169916E+01   0.359433E+05   0.357508E+05  -0.765330E-03  -0.772152E-03   0.244260E+02   0.357513E+05   0.359131E+05   0.357513E+05  -0.854061E-03   0.219457E+05   0.219425E+05   0.618054E-03
   0.183787E+01   0.314883E+05   0.313196E+05  -0.573086E-03  -0.578194E-03   0.182850E+02   0.313200E+05   0.314618E+05   0.313200E+05  -0.748203E-03   0.192256E+05   0.192228E+05   0.500350E-03
   0.198790E+01   0.275716E+05   0.274239E+05  -0.428916E-03  -0.432739E-03   0.136819E+02   0.274243E+05   0.275484E+05   0.274243E+05  -0.655137E-03   0.168342E+05   0.168318E+05   0.404835E-03
   0.215018E+01   0.241302E+05   0.240010E+05  -0.320857E-03  -0.323717E-03   0.102330E+02   0.240013E+05   0.241099E+05   0.240013E+05  -0.573366E-03   0.147330E+05   0.147309E+05   0.327370E-03
   0.252652E+01   0.183197E+05   0.182216E+05  -0.176431E-03  -0.178004E-03   0.562531E+01   0.182218E+05   0.183042E+05   0.182218E+05  -0.435299E-03   0.111853E+05   0.111837E+05   0.211201E-03
   0.316533E+01   0.124269E+05   0.123603E+05  -0.762474E-04  -0.769270E-04   0.243059E+01   0.123605E+05   0.124164E+05   0.123605E+05  -0.295278E-03   0.758738E+04   0.758630E+04   0.114014E-03
   0.396567E+01   0.840169E+04   0.835671E+04  -0.328425E-04  -0.331352E-04   0.104684E+01   0.835679E+04   0.839462E+04   0.835679E+04  -0.199635E-03   0.512976E+04   0.512903E+04   0.612491E-04
   0.496836E+01   0.566316E+04   0.563285E+04  -0.141037E-04  -0.142294E-04   0.449527E+00   0.563290E+04   0.565840E+04   0.563290E+04  -0.134564E-03   0.345772E+04   0.345723E+04   0.327224E-04
   0.622459E+01   0.380674E+04   0.378637E+04  -0.603995E-05  -0.609379E-05   0.192505E+00   0.378640E+04   0.380354E+04   0.378640E+04  -0.904531E-04   0.232425E+04   0.232393E+04   0.173642E-04
   0.779844E+01   0.255239E+04   0.253874E+04  -0.258007E-05  -0.260307E-05   0.822316E-01   0.253875E+04   0.255024E+04   0.253875E+04  -0.606481E-04   0.155839E+04   0.155818E+04   0.913216E-05
