#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.216870E-03   0.182345E+08   0.182343E+08   0.206981E+08   0.206250E+08   0.182174E+08   0.182344E+08   0.182345E+08   0.182396E+08  -0.435901E+00   0.111747E+08   0.111746E+08   0.924883E+02
   0.239670E-03   0.182325E+08   0.182324E+08   0.199689E+08   0.198822E+08   0.182121E+08   0.182324E+08   0.182325E+08   0.182375E+08  -0.435847E+00   0.111735E+08   0.111734E+08   0.101221E+03
   0.264867E-03   0.182302E+08   0.182300E+08   0.191119E+08   0.190098E+08   0.182057E+08   0.182300E+08   0.182302E+08   0.182349E+08  -0.435781E+00   0.111719E+08   0.111719E+08   0.110544E+03
   0.292712E-03   0.182273E+08   0.182271E+08   0.181134E+08   0.179942E+08   0.181978E+08   0.182271E+08   0.182273E+08   0.182317E+08  -0.435701E+00   0.111701E+08   0.111700E+08   0.120419E+03
   0.323486E-03   0.182238E+08   0.182235E+08   0.169627E+08   0.168250E+08   0.181883E+08   0.182236E+08   0.182238E+08   0.182279E+08  -0.435605E+00   0.111679E+08   0.111678E+08   0.130773E+03
   0.357494E-03   0.182196E+08   0.182192E+08   0.156541E+08   0.154969E+08   0.181767E+08   0.182194E+08   0.182196E+08   0.182233E+08  -0.435490E+00   0.111652E+08   0.111651E+08   0.141492E+03
   0.395078E-03   0.182145E+08   0.182141E+08   0.141902E+08   0.140137E+08   0.181627E+08   0.182142E+08   0.182144E+08   0.182178E+08  -0.435350E+00   0.111619E+08   0.111618E+08   0.152409E+03
   0.436612E-03   0.182083E+08   0.182078E+08   0.125861E+08   0.123917E+08   0.181456E+08   0.182080E+08   0.182083E+08   0.182111E+08  -0.435184E+00   0.111580E+08   0.111578E+08   0.163299E+03
   0.482514E-03   0.182009E+08   0.182003E+08   0.108729E+08   0.106640E+08   0.181249E+08   0.182005E+08   0.182008E+08   0.182032E+08  -0.434984E+00   0.111533E+08   0.111530E+08   0.173863E+03
   0.533241E-03   0.181920E+08   0.181912E+08   0.910140E+07   0.888362E+07   0.180999E+08   0.181914E+08   0.181919E+08   0.181937E+08  -0.434747E+00   0.111476E+08   0.111473E+08   0.183733E+03
   0.589301E-03   0.181812E+08   0.181804E+08   0.734281E+07   0.712461E+07   0.180697E+08   0.181806E+08   0.181811E+08   0.181824E+08  -0.434466E+00   0.111408E+08   0.111405E+08   0.192470E+03
