#    L    TT             EE             BB             TE             PP             TP             EP          
    53   0.164797E+04   0.214878E+00   0.000000E+00  -0.198252E+01   0.969927E-07  -0.871982E-03  -0.132467E-05
    54   0.167301E+04   0.227225E+00   0.000000E+00  -0.235735E+01   0.964811E-07  -0.856561E-03  -0.130378E-05
    55   0.169824E+04   0.239934E+00   0.000000E+00  -0.274898E+01   0.959623E-07  -0.841198E-03  -0.125792E-05
    56   0.172375E+04   0.252995E+00   0.000000E+00  -0.315851E+01   0.954369E-07  -0.825772E-03  -0.118783E-05
    57   0.174966E+04   0.266399E+00   0.000000E+00  -0.358633E+01   0.949055E-07  -0.810349E-03  -0.110705E-05
    58   0.177595E+04   0.280138E+00   0.000000E+00  -0.403195E+01   0.943684E-07  -0.795045E-03  -0.103229E-05
    59   0.180254E+04   0.294208E+00   0.000000E+00  -0.449462E+01   0.938260E-07  -0.779974E-03  -0.980253E-06
    60   0.182943E+04   0.308595E+00   0.000000E+00  -0.497314E+01   0.932788E-07  -0.765252E-03  -0.967588E-06
    61   0.185665E+04   0.323287E+00   0.000000E+00  -0.546650E+01   0.927271E-07  -0.750969E-03  -0.100549E-05
    62   0.188418E+04   0.338273E+00   0.000000E+00  -0.597464E+01   0.921717E-07  -0.737122E-03  -0.108333E-05
    63   0.191203E+04   0.353543E+00   0.000000E+00  -0.649775E+01   0.916133E-07  -0.723688E-03  -0.118507E-05
    64   0.194019E+04   0.369087E+00   0.000000E+00  -0.703602E+01   0.910526E-07  -0.710641E-03  -0.129469E-05
    65   0.196866E+04   0.384896E+00   0.000000E+00  -0.758969E+01   0.904903E-07  -0.697956E-03  -0.139619E-05
    66   0.199747E+04   0.400955E+00   0.000000E+00  -0.815901E+01   0.899270E-07  -0.685602E-03  -0.147612E-05
    67   0.202661E+04   0.417248E+00   0.000000E+00  -0.874333E+01   0.893632E-07  -0.673528E-03  -0.153118E-05
    68   0.205606E+04   0.433756E+00   0.000000E+00  -0.934176E+01   0.887991E-07  -0.661677E-03  -0.156055E-05
    69   0.208578E+04   0.450461E+00   0.000000E+00  -0.995346E+01   0.882351E-07  -0.649991E-03  -0.156345E-05
    70   0.211578E+04   0.467348E+00   0.000000E+00  -0.105778E+02   0.876715E-07  -0.638415E-03  -0.153910E-05
    71   0.214602E+04   0.484402E+00   0.000000E+00  -0.112143E+02   0.871085E-07  -0.626906E-03  -0.148819E-05
    72   0.217660E+04   0.501610E+00   0.000000E+00  -0.118632E+02   0.865461E-07  -0.615482E-03  -0.141744E-05
    73   0.220761E+04   0.518959E+00   0.000000E+00  -0.125247E+02   0.859845E-07  -0.604177E-03  -0.133506E-05
    74   0.223902E+04   0.536427E+00   0.000000E+00  -0.131980E+02   0.854235E-07  -0.593022E-03  -0.124926E-05
    75   0.227080E+04   0.553994E+00   0.000000E+00  -0.138820E+02   0.848632E-07  -0.582051E-03  -0.116821E-05
    76   0.230289E+04   0.571637E+00   0.000000E+00  -0.145753E+02   0.843036E-07  -0.571291E-03  -0.109879E-05
    77   0.233518E+04   0.589335E+00   0.000000E+00  -0.152765E+02   0.837450E-07  -0.560752E-03  -0.104258E-05
    78   0.236769E+04   0.607069E+00   0.000000E+00  -0.159852E+02   0.831876E-07  -0.550439E-03  -0.999869E-06
    79   0.240050E+04   0.624817E+00   0.000000E+00  -0.167012E+02   0.826317E-07  -0.540356E-03  -0.970917E-06
    80   0.243366E+04   0.642560E+00   0.000000E+00  -0.174245E+02   0.820776E-07  -0.530507E-03  -0.956004E-06
    81   0.246721E+04   0.660277E+00   0.000000E+00  -0.181550E+02   0.815255E-07  -0.520896E-03  -0.955134E-06
    82   0.250115E+04   0.677949E+00   0.000000E+00  -0.188916E+02   0.809757E-07  -0.511520E-03  -0.967229E-06
    83   0.253543E+04   0.695553E+00   0.000000E+00  -0.196338E+02   0.804283E-07  -0.502377E-03  -0.990944E-06
    84   0.257004E+04   0.713070E+00   0.000000E+00  -0.203803E+02   0.798835E-07  -0.493461E-03  -0.102493E-05
    85   0.260493E+04   0.730478E+00   0.000000E+00  -0.211306E+02   0.793415E-07  -0.484769E-03  -0.106785E-05
    86   0.264008E+04   0.747757E+00   0.000000E+00  -0.218835E+02   0.788024E-07  -0.476295E-03  -0.111805E-05
    87   0.267547E+04   0.764885E+00   0.000000E+00  -0.226383E+02   0.782663E-07  -0.468022E-03  -0.117264E-05
    88   0.271106E+04   0.781838E+00   0.000000E+00  -0.233942E+02   0.777333E-07  -0.459927E-03  -0.122842E-05
    89   0.274688E+04   0.798593E+00   0.000000E+00  -0.241506E+02   0.772035E-07  -0.451991E-03  -0.128219E-05
    90   0.278293E+04   0.815123E+00   0.000000E+00  -0.249068E+02   0.766770E-07  -0.444192E-03  -0.133077E-05
    91   0.281923E+04   0.831406E+00   0.000000E+00  -0.256622E+02   0.761538E-07  -0.436514E-03  -0.137158E-05
    92   0.285576E+04   0.847422E+00   0.000000E+00  -0.264161E+02   0.756340E-07  -0.428953E-03  -0.140455E-05
    93   0.289253E+04   0.863152E+00   0.000000E+00  -0.271677E+02   0.751175E-07  -0.421508E-03  -0.143023E-05
    94   0.292953E+04   0.878582E+00   0.000000E+00  -0.279164E+02   0.746044E-07  -0.414180E-03  -0.144917E-05
    95   0.296676E+04   0.893691E+00   0.000000E+00  -0.286615E+02   0.740948E-07  -0.406969E-03  -0.146193E-05
    96   0.300422E+04   0.908463E+00   0.000000E+00  -0.294020E+02   0.735885E-07  -0.399875E-03  -0.146903E-05
    97   0.304189E+04   0.922878E+00   0.000000E+00  -0.301373E+02   0.730858E-07  -0.392897E-03  -0.147105E-05
    98   0.307978E+04   0.936919E+00   0.000000E+00  -0.308665E+02   0.725865E-07  -0.386035E-03  -0.146851E-05
    99   0.311785E+04   0.950566E+00   0.000000E+00  -0.315887E+02   0.720907E-07  -0.379290E-03  -0.146197E-05
   100   0.315611E+04   0.963806E+00   0.000000E+00  -0.323032E+02   0.715984E-07  -0.372661E-03  -0.145198E-05
   101   0.319455E+04   0.976620E+00   0.000000E+00  -0.330091E+02   0.711097E-07  -0.366149E-03  -0.143908E-05
   102   0.323315E+04   0.988981E+00   0.000000E+00  -0.337057E+02   0.706245E-07  -0.359753E-03  -0.142382E-05
   103   0.327191E+04   0.100089E+01   0.000000E+00  -0.343918E+02   0.701429E-07  -0.353473E-03  -0.140673E-05
   104   0.331081E+04   0.101230E+01   0.000000E+00  -0.350669E+02   0.696650E-07  -0.347310E-03  -0.138838E-05
   105   0.334983E+04   0.102322E+01   0.000000E+00  -0.357298E+02   0.691907E-07  -0.341262E-03  -0.136929E-05
   106   0.338896E+04   0.103362E+01   0.000000E+00  -0.363797E+02   0.687201E-07  -0.335331E-03  -0.135002E-05
   107   0.342819E+04   0.104349E+01   0.000000E+00  -0.370157E+02   0.682531E-07  -0.329516E-03  -0.133111E-05
   108   0.346749E+04   0.105281E+01   0.000000E+00  -0.376370E+02   0.677899E-07  -0.323817E-03  -0.131311E-05
   109   0.350686E+04   0.106156E+01   0.000000E+00  -0.382424E+02   0.673305E-07  -0.318235E-03  -0.129655E-05
   110   0.354629E+04   0.106972E+01   0.000000E+00  -0.388313E+02   0.668748E-07  -0.312769E-03  -0.128198E-05
   111   0.358575E+04   0.107728E+01   0.000000E+00  -0.394028E+02   0.664230E-07  -0.307418E-03  -0.126982E-05
   112   0.362525E+04   0.108424E+01   0.000000E+00  -0.399559E+02   0.659750E-07  -0.302181E-03  -0.126000E-05
   113   0.366476E+04   0.109059E+01   0.000000E+00  -0.404904E+02   0.655307E-07  -0.297055E-03  -0.125232E-05
   114   0.370429E+04   0.109632E+01   0.000000E+00  -0.410052E+02   0.650902E-07  -0.292038E-03  -0.124659E-05
   115   0.374380E+04   0.110143E+01   0.000000E+00  -0.414999E+02   0.646534E-07  -0.287127E-03  -0.124261E-05
   116   0.378331E+04   0.110592E+01   0.000000E+00  -0.419737E+02   0.642204E-07  -0.282320E-03  -0.124019E-05
