#           k/h    P           
   0.420980E-02   0.111139E+05
   0.429484E-02   0.112788E+05
   0.438160E-02   0.114450E+05
   0.447012E-02   0.116123E+05
   0.456042E-02   0.117808E+05
   0.465255E-02   0.119505E+05
   0.474653E-02   0.121211E+05
   0.484242E-02   0.122928E+05
   0.494024E-02   0.124655E+05
   0.504004E-02   0.126391E+05
   0.514186E-02   0.128135E+05
   0.524573E-02   0.129887E+05
   0.535170E-02   0.131646E+05
   0.545981E-02   0.133412E+05
   0.557011E-02   0.135183E+05
   0.568263E-02   0.136960E+05
   0.579743E-02   0.138742E+05
   0.591455E-02   0.140527E+05
   0.603403E-02   0.142316E+05
   0.615592E-02   0.144107E+05
   0.628028E-02   0.145899E+05
   0.640715E-02   0.147691E+05
   0.653658E-02   0.149482E+05
   0.666863E-02   0.151270E+05
   0.680335E-02   0.153055E+05
   0.694078E-02   0.154835E+05
   0.708100E-02   0.156610E+05
   0.722404E-02   0.158379E+05
   0.736998E-02   0.160140E+05
   0.751886E-02   0.161891E+05
   0.767075E-02   0.163633E+05
   0.782571E-02   0.165364E+05
   0.798380E-02   0.167082E+05
   0.814509E-02   0.168786E+05
   0.830963E-02   0.170474E+05
   0.847750E-02   0.172146E+05
   0.864875E-02   0.173799E+05
   0.882347E-02   0.175433E+05
   0.900171E-02   0.177045E+05
   0.918356E-02   0.178633E+05
   0.936908E-02   0.180197E+05
   0.955835E-02   0.181734E+05
   0.975144E-02   0.183242E+05
   0.994843E-02   0.184720E+05
   0.101494E-01   0.186166E+05
   0.103544E-01   0.187578E+05
   0.105636E-01   0.188954E+05
   0.107770E-01   0.190292E+05
   0.109947E-01   0.191589E+05
   0.112168E-01   0.192845E+05
   0.114434E-01   0.194057E+05
   0.116746E-01   0.195222E+05
   0.119104E-01   0.196339E+05
   0.121510E-01   0.197406E+05
   0.123965E-01   0.198421E+05
   0.126469E-01   0.199380E+05
   0.129024E-01   0.200283E+05
   0.131631E-01   0.201126E+05
   0.134290E-01   0.201907E+05
   0.137003E-01   0.202625E+05
   0.139770E-01   0.203277E+05
   0.142594E-01   0.203860E+05
   0.145474E-01   0.204374E+05
   0.148413E-01   0.204814E+05
   0.151411E-01   0.205180E+05
   0.154470E-01   0.205469E+05
   0.157590E-01   0.205678E+05
   0.160774E-01   0.205807E+05
   0.164022E-01   0.205852E+05
   0.167335E-01   0.205813E+05
   0.170716E-01   0.205686E+05
   0.174164E-01   0.205472E+05
   0.177683E-01   0.205167E+05
   0.181272E-01   0.204770E+05
   0.184934E-01   0.204280E+05
   0.188670E-01   0.203696E+05
   0.192481E-01   0.203017E+05
   0.196370E-01   0.202242E+05
   0.200337E-01   0.201369E+05
   0.204384E-01   0.200399E+05
   0.208513E-01   0.199332E+05
   0.212725E-01   0.198166E+05
   0.217022E-01   0.196903E+05
   0.221406E-01   0.195543E+05
   0.225879E-01   0.194087E+05
   0.230442E-01   0.192535E+05
   0.235097E-01   0.190889E+05
   0.239847E-01   0.189151E+05
   0.244692E-01   0.187322E+05
   0.249635E-01   0.185405E+05
   0.254678E-01   0.183403E+05
   0.259823E-01   0.181319E+05
   0.265072E-01   0.179155E+05
   0.270426E-01   0.176916E+05
   0.275889E-01   0.174606E+05
   0.281463E-01   0.172230E+05
   0.287149E-01   0.169792E+05
   0.292949E-01   0.167298E+05
   0.298867E-01   0.164752E+05
   0.304905E-01   0.162161E+05
   0.311064E-01   0.159531E+05
   0.317348E-01   0.156870E+05
   0.323759E-01   0.154182E+05
   0.330299E-01   0.151475E+05
   0.336972E-01   0.148757E+05
   0.343779E-01   0.146033E+05
   0.350724E-01   0.143313E+05
   0.357809E-01   0.140601E+05
   0.365038E-01   0.137905E+05
   0.372412E-01   0.135235E+05
   0.379935E-01   0.132598E+05
   0.387610E-01   0.130001E+05
   0.395440E-01   0.127452E+05
   0.403429E-01   0.124956E+05
   0.411579E-01   0.122517E+05
   0.419893E-01   0.120138E+05
   0.428375E-01   0.117822E+05
   0.437029E-01   0.115573E+05
   0.445858E-01   0.113395E+05
   0.454865E-01   0.111295E+05
   0.464053E-01   0.109281E+05
   0.473428E-01   0.107361E+05
   0.482992E-01   0.105538E+05
   0.492749E-01   0.103812E+05
   0.502703E-01   0.102172E+05
   0.512858E-01   0.100612E+05
   0.523219E-01   0.991233E+04
   0.533789E-01   0.976994E+04
   0.544572E-01   0.963333E+04
   0.555573E-01   0.950183E+04
   0.566796E-01   0.937481E+04
   0.578246E-01   0.925157E+04
   0.589927E-01   0.913125E+04
   0.601845E-01   0.901301E+04
   0.614003E-01   0.889602E+04
   0.626407E-01   0.877924E+04
   0.639061E-01   0.866145E+04
   0.651971E-01   0.854151E+04
   0.665142E-01   0.841820E+04
   0.678578E-01   0.828999E+04
   0.692287E-01   0.815541E+04
   0.706272E-01   0.801318E+04
   0.720539E-01   0.786248E+04
   0.735095E-01   0.770276E+04
